eventid,date,time,ild_depth,ild_temp
510455900,2004-10-11,12:00:00,95.6686377051546,12.373341121082
510455900,2004-10-12,00:00:00,102.740238032124,11.9194850121752
510455900,2004-10-13,00:00:00,112.950411593672,12.2006117639608
510455900,2004-10-13,12:00:00,131.491983351753,11.7571467351803
510455900,2004-10-16,12:00:00,133.173922049944,13.4581240965324
510455900,2004-10-16,18:00:00,122.975023682007,13.7100339723545
510455900,2004-10-17,18:00:00,139.488515240108,13.5845821403801
510455900,2004-10-19,06:00:00,119.757671790564,13.2866405435961
510455900,2004-10-20,00:00:00,122.039387077065,13.3357428990312
510455900,2004-10-21,00:00:00,100.428305488632,13.503261571675
510455900,2004-10-22,06:00:00,89.9460299847881,13.4163668236742
510455900,2004-10-22,12:00:00,74.3978981809182,13.5543609447141
510455900,2004-10-24,18:00:00,112.983385446456,14.4394669465415
510455900,2004-10-25,18:00:00,98.9229299115345,14.9881700273152
510455900,2004-10-27,00:00:00,74.0320272790737,14.2434550245762
510455900,2004-10-27,06:00:00,63.2718973594156,14.2730774514908
510455900,2004-10-27,18:00:00,89.9809532205364,14.1479799946619
510455900,2004-10-28,00:00:00,143.475560620194,13.5390874277432
510455900,2004-10-28,06:00:00,105.677120560788,13.7457782830806
510455900,2004-10-29,00:00:00,136.980588756499,13.7657143735732
510455900,2004-10-30,18:00:00,99.4434027471223,15.0090636521886
510455900,2004-10-31,00:00:00,114.07222158982,14.6727019706149
510455900,2004-10-31,06:00:00,100.957535487312,14.7486015011284
510455900,2004-11-01,18:00:00,103.20232947998,15.5115782278432
510455900,2004-11-02,00:00:00,183.027513198323,14.7352746314317
510455900,2004-11-02,06:00:00,74.175989898092,15.5806432770369
510455900,2004-11-02,18:00:00,98.4253935192615,15.4685253040927
510455900,2004-11-03,00:00:00,87.6019894027033,16.278913702221
510455900,2004-11-03,18:00:00,63.6520239703833,17.8666497220821
510455900,2004-11-04,00:00:00,102.801319663545,17.4363488161571
510455900,2004-11-04,06:00:00,148.586138011263,17.1155503129384
510455900,2004-11-04,12:00:00,60.5992008922971,17.564949833214
510455900,2004-11-07,00:00:00,68.2597292904748,20.2085244186505
510455900,2004-11-07,18:00:00,41.7681765357717,20.4807257154765
510455900,2004-11-08,00:00:00,32.4363743362183,20.9666707150299
510455900,2004-11-08,06:00:00,82.2719695736477,21.7545555394699
510455900,2004-11-08,12:00:00,41.8570198819842,21.888236828438
510455900,2004-11-08,18:00:00,47.8276856803318,21.3682827485812
510455900,2004-11-13,18:00:00,110.62748258156,17.4519467320963
510455900,2004-11-14,00:00:00,102.016264912488,17.0795189050171
510455900,2004-11-14,06:00:00,79.588652445863,16.9057444605782
510455900,2004-11-14,12:00:00,59.651373439025,16.6596940029938
510455900,2004-11-14,18:00:00,105.226372496061,14.6443571383192
510455900,2004-11-15,00:00:00,104.066966940175,14.5862795928253
510455900,2004-11-15,06:00:00,99.8804205406315,15.0120736246305
510455900,2004-11-15,12:00:00,270.94958956637,13.1521125742676
510455900,2004-11-15,18:00:00,124.609406556052,14.7687063759282
510455900,2004-11-16,00:00:00,153.422154192224,14.2337548707292
510455900,2004-11-16,06:00:00,109.528278129298,14.4265728174793
510455900,2004-11-16,18:00:00,111.29202479073,14.7376263057776
510455900,2004-11-17,00:00:00,106.982957228321,14.4576332173496
510455900,2004-11-17,06:00:00,77.8408654723448,15.2194854970875
510455900,2004-11-17,12:00:00,98.0681359781083,14.55910970135
510455900,2004-11-17,18:00:00,109.900237683213,14.140078009133
510455900,2004-11-18,00:00:00,119.228949441334,13.8675643735088
510455900,2004-11-18,18:00:00,140.366199353713,13.4676901853515
510455900,2004-11-19,00:00:00,145.64683013606,13.2364427654334
510455900,2004-11-19,06:00:00,250.895412534782,12.3591696644228
510455900,2004-11-21,12:00:00,379.679094816522,12.7116929977252
510455900,2004-11-21,18:00:00,122.473150755257,14.0453571049499
510455900,2004-11-22,00:00:00,171.45794033875,14.0712076656583
510455900,2004-11-22,06:00:00,134.707891212637,14.2422990517921
510455900,2004-11-22,12:00:00,370.364297165645,12.7687731639476
510455900,2004-11-22,18:00:00,139.812984976762,14.2484696864478
510455900,2004-11-23,06:00:00,90.1060050243534,14.1018527450439
510455900,2004-11-23,18:00:00,121.24672971157,13.6835298129577
510455900,2004-11-24,00:00:00,144.49838852222,13.4650659436531
510455900,2004-11-24,18:00:00,100.652480973993,13.1506028087668
510455900,2004-11-25,00:00:00,135.999936629472,13.2596737278109
510455900,2004-11-25,06:00:00,186.70502844864,13.2760103116235
510455900,2004-11-25,18:00:00,113.432334078496,14.0738759029579
510455900,2004-11-26,00:00:00,116.228292817859,14.0851726870699
510455900,2004-11-26,06:00:00,123.419859844163,13.833580365197
510455900,2004-11-26,12:00:00,120.477454495617,13.0655860841592
510455900,2004-11-26,18:00:00,107.983498706323,13.8394783049505
510455900,2004-11-27,00:00:00,127.765559291241,14.1363923208848
510455900,2004-11-28,06:00:00,163.659926254426,13.4664561881691
510455900,2004-11-28,18:00:00,118.715998072451,13.4242007715814
510455900,2004-11-29,00:00:00,123.152940128204,13.1318386130803
510455900,2004-11-30,18:00:00,87.983077126979,14.1195613913759
510455900,2004-12-01,00:00:00,111.504198071207,13.97160032822
510455900,2004-12-02,06:00:00,115.308741575735,14.2459507919266
510455900,2004-12-02,18:00:00,61.9501170426082,14.965215870451
510455900,2004-12-03,00:00:00,125.330282118868,14.9956578887554
510455900,2004-12-03,06:00:00,82.1738946138663,15.1509235080065
510455900,2004-12-04,12:00:00,58.6871380794299,16.3368488774178
