"","date","Depth","nrecs","MeanTemp","MinTemp","MaxTemp","bin","MeanPDT"
"1",2020-08-27,4,1,15.31,15.31,15.31,1,15.31
"2",2020-08-27,8,1,15.31,15.31,15.31,2,15.31
"3",2020-08-27,32,1,15.31,15.31,15.31,3,15.31
"4",2020-08-27,36,2,13.91,13.78,14.04,4,13.91
"5",2020-08-28,4,1,14.8,14.8,14.8,1,14.8
"6",2020-08-28,8,5,15.102,15.05,15.31,2,15.18
"7",2020-08-28,12,2,15.055,14.8,15.31,3,15.055
"8",2020-08-28,16,1,14.8,14.8,14.8,4,14.8
"9",2020-08-28,20,1,15.31,15.31,15.31,5,15.31
"10",2020-08-28,24,4,15.1175,14.8,15.31,6,15.055
"11",2020-08-28,28,1,15.31,15.31,15.31,7,15.31
"12",2020-08-28,32,6,14.9683333333333,14.8,15.31,8,15.055
"13",2020-08-28,36,3,14.8866666666667,14.04,15.31,9,14.675
"14",2020-08-28,44,1,14.8,14.8,14.8,10,14.8
"15",2020-08-29,4,1,15.05,15.05,15.05,1,15.05
"16",2020-08-29,8,4,14.7325,14.54,15.05,2,14.795
"17",2020-08-29,12,2,14.925,14.8,15.05,3,14.925
"18",2020-08-29,16,5,14.85,14.8,15.05,4,14.925
"19",2020-08-29,20,1,14.8,14.8,14.8,5,14.8
"20",2020-08-29,28,6,14.8833333333333,14.8,15.05,6,14.925
"21",2020-08-29,32,5,14.8,14.8,14.8,7,14.8
"22",2020-08-29,36,1,14.29,14.29,14.29,8,14.29
"23",2020-08-30,4,1,14.04,14.04,14.04,1,14.04
"24",2020-08-30,12,2,14.04,14.04,14.04,2,14.04
"25",2020-08-30,16,3,14.54,14.54,14.54,3,14.54
"26",2020-08-30,20,4,14.67,14.54,14.8,4,14.67
"27",2020-08-30,24,6,14.6266666666667,14.54,14.8,5,14.67
"28",2020-08-30,28,4,14.54,14.54,14.54,6,14.54
"29",2020-08-30,32,2,14.545,14.29,14.8,7,14.545
"30",2020-08-30,36,2,14.545,14.29,14.8,8,14.545
"31",2020-08-30,40,1,14.54,14.54,14.54,9,14.54
"32",2020-08-31,0,1,14.54,14.54,14.54,1,14.54
"33",2020-08-31,4,1,14.54,14.54,14.54,2,14.54
"34",2020-08-31,8,1,14.54,14.54,14.54,3,14.54
"35",2020-08-31,12,1,14.54,14.54,14.54,4,14.54
"36",2020-08-31,16,3,14.3733333333333,14.29,14.54,5,14.415
"37",2020-08-31,20,2,14.54,14.54,14.54,6,14.54
"38",2020-08-31,24,1,14.54,14.54,14.54,7,14.54
"39",2020-09-02,0,1,14.8,14.8,14.8,1,14.8
"40",2020-09-02,4,2,14.8,14.8,14.8,2,14.8
"41",2020-09-02,24,1,14.8,14.8,14.8,3,14.8
"42",2020-09-02,28,1,14.8,14.8,14.8,4,14.8
"43",2020-09-03,0,16,14.78125,14.54,15.05,1,14.795
"44",2020-09-03,4,4,14.605,14.54,14.8,2,14.67
"45",2020-09-03,20,2,14.67,14.54,14.8,3,14.67
"46",2020-09-03,28,1,15.05,15.05,15.05,4,15.05
"47",2020-09-03,32,1,14.54,14.54,14.54,5,14.54
"48",2020-09-03,36,1,14.04,14.04,14.04,6,14.04
"49",2020-09-05,0,23,15.4069565217391,14.8,15.81,1,15.305
"50",2020-09-05,12,1,15.56,15.56,15.56,2,15.56
"51",2020-09-05,24,1,15.31,15.31,15.31,3,15.31
"52",2020-09-06,0,21,16.1147619047619,15.81,16.32,1,16.065
"53",2020-09-06,4,2,16.32,16.32,16.32,2,16.32
"54",2020-09-06,8,1,16.32,16.32,16.32,3,16.32
"55",2020-09-06,20,1,16.32,16.32,16.32,4,16.32
"56",2020-09-07,0,18,16.3344444444444,16.32,16.58,1,16.45
"57",2020-09-07,4,3,16.32,16.32,16.32,2,16.32
"58",2020-09-07,8,2,16.32,16.32,16.32,3,16.32
"59",2020-09-07,12,2,16.32,16.32,16.32,4,16.32
"60",2020-09-08,0,17,16.5305882352941,16.32,16.83,1,16.575
"61",2020-09-08,4,2,16.705,16.58,16.83,2,16.705
"62",2020-09-08,24,1,15.81,15.81,15.81,3,15.81
"63",2020-09-08,32,1,16.58,16.58,16.58,4,16.58
"64",2020-09-08,36,2,16.45,16.32,16.58,5,16.45
"65",2020-09-08,48,2,15.31,14.04,16.58,6,15.31
"66",2020-09-09,0,9,16.9966666666667,16.58,17.08,1,16.83
"67",2020-09-09,4,3,16.9133333333333,16.83,17.08,2,16.955
"68",2020-09-09,8,1,16.83,16.83,16.83,3,16.83
"69",2020-09-09,12,4,16.8925,16.83,17.08,4,16.955
"70",2020-09-09,16,4,16.8925,16.83,17.08,5,16.955
"71",2020-09-09,20,3,16.83,16.83,16.83,6,16.83
"72",2020-09-09,24,1,16.58,16.58,16.58,7,16.58
"73",2020-09-10,4,3,16.9133333333333,16.83,17.08,1,16.955
"74",2020-09-10,8,1,16.83,16.83,16.83,2,16.83
"75",2020-09-10,12,2,16.83,16.83,16.83,3,16.83
"76",2020-09-10,16,3,16.83,16.83,16.83,4,16.83
"77",2020-09-10,20,4,16.83,16.83,16.83,5,16.83
"78",2020-09-10,24,4,16.83,16.83,16.83,6,16.83
"79",2020-09-10,28,5,16.83,16.83,16.83,7,16.83
"80",2020-09-10,32,1,15.81,15.81,15.81,8,15.81
"81",2020-09-10,36,2,16.705,16.58,16.83,9,16.705
"82",2020-09-11,0,20,17.009,16.58,17.34,1,16.96
"83",2020-09-11,4,1,17.08,17.08,17.08,2,17.08
"84",2020-09-11,12,1,17.34,17.34,17.34,3,17.34
"85",2020-09-11,16,1,16.83,16.83,16.83,4,16.83
"86",2020-09-11,20,1,17.08,17.08,17.08,5,17.08
"87",2020-09-11,24,1,16.83,16.83,16.83,6,16.83
"88",2020-09-12,0,3,17.5933333333333,17.34,17.85,1,17.595
"89",2020-09-12,4,6,17.4233333333333,17.08,17.85,2,17.465
"90",2020-09-12,8,9,17.3377777777778,17.08,17.59,3,17.335
"91",2020-09-12,12,3,17.4233333333333,17.34,17.59,4,17.465
"92",2020-09-12,16,1,17.59,17.59,17.59,5,17.59
"93",2020-09-12,20,1,17.59,17.59,17.59,6,17.59
"94",2020-09-12,24,1,17.34,17.34,17.34,7,17.34
"95",2020-09-12,96,1,12.77,12.77,12.77,8,12.77
"96",2020-09-13,0,10,17.616,17.59,17.85,1,17.72
"97",2020-09-13,4,7,17.5928571428571,17.34,17.85,2,17.595
"98",2020-09-13,8,2,17.72,17.59,17.85,3,17.72
"99",2020-09-13,12,1,17.59,17.59,17.59,4,17.59
