"","date","Depth","nrecs","MeanTemp","MinTemp","MaxTemp","bin","MeanPDT"
"1",2020-09-20,4,2,14.8,14.8,14.8,1,14.8
"2",2020-09-20,8,2,14.925,14.8,15.05,2,14.925
"3",2020-09-20,12,2,14.8,14.8,14.8,3,14.8
"4",2020-09-20,16,1,14.8,14.8,14.8,4,14.8
"5",2020-09-20,24,1,14.8,14.8,14.8,5,14.8
"6",2020-09-20,28,1,14.8,14.8,14.8,6,14.8
"7",2020-09-20,36,1,14.8,14.8,14.8,7,14.8
"8",2020-09-20,68,1,14.54,14.54,14.54,8,14.54
"9",2020-09-21,4,5,14.9,14.8,15.05,1,14.925
"10",2020-09-21,8,2,14.8,14.8,14.8,2,14.8
"11",2020-09-21,20,2,14.925,14.8,15.05,3,14.925
"12",2020-09-21,24,5,14.8,14.8,14.8,4,14.8
"13",2020-09-21,36,2,14.8,14.8,14.8,5,14.8
"14",2020-09-21,40,1,14.54,14.54,14.54,6,14.54
"15",2020-09-21,48,1,14.54,14.54,14.54,7,14.54
"16",2020-09-22,4,2,14.67,14.54,14.8,1,14.67
"17",2020-09-22,8,4,14.735,14.54,14.8,2,14.67
"18",2020-09-22,16,1,14.8,14.8,14.8,3,14.8
"19",2020-09-22,24,1,14.8,14.8,14.8,4,14.8
"20",2020-09-22,28,2,14.925,14.8,15.05,5,14.925
"21",2020-09-22,36,2,14.8,14.8,14.8,6,14.8
"22",2020-09-22,40,1,14.8,14.8,14.8,7,14.8
"23",2020-09-22,44,2,14.67,14.54,14.8,8,14.67
"24",2020-09-22,48,2,14.54,14.54,14.54,9,14.54
"25",2020-09-22,52,1,14.54,14.54,14.54,10,14.54
"26",2020-09-23,0,2,14.67,14.54,14.8,1,14.67
"27",2020-09-23,4,3,14.6266666666667,14.54,14.8,2,14.67
"28",2020-09-23,8,1,14.54,14.54,14.54,3,14.54
"29",2020-09-23,12,1,14.54,14.54,14.54,4,14.54
"30",2020-09-23,16,1,14.8,14.8,14.8,5,14.8
"31",2020-09-23,24,4,14.605,14.54,14.8,6,14.67
"32",2020-09-23,32,1,14.8,14.8,14.8,7,14.8
"33",2020-09-23,36,1,14.29,14.29,14.29,8,14.29
"34",2020-09-23,40,1,14.8,14.8,14.8,9,14.8
"35",2020-09-23,44,1,14.8,14.8,14.8,10,14.8
"36",2020-09-23,48,1,13.27,13.27,13.27,11,13.27
"37",2020-09-23,56,1,14.29,14.29,14.29,12,14.29
"38",2020-09-24,0,11,14.6127272727273,14.29,14.8,1,14.545
"39",2020-09-24,4,5,14.49,14.29,14.54,2,14.415
"40",2020-09-24,44,1,14.54,14.54,14.54,3,14.54
"41",2020-09-24,52,1,13.02,13.02,13.02,4,13.02
"42",2020-09-25,0,9,14.9955555555556,14.29,15.81,1,15.05
"43",2020-09-25,4,4,14.795,14.54,15.05,2,14.795
"44",2020-09-25,12,2,15.05,14.54,15.56,3,15.05
"45",2020-09-25,36,1,15.56,15.56,15.56,4,15.56
"46",2020-09-25,40,1,15.31,15.31,15.31,5,15.31
"47",2020-09-25,56,1,14.54,14.54,14.54,6,14.54
"48",2020-09-26,0,4,15.6225,15.56,15.81,1,15.685
"49",2020-09-26,4,3,15.7266666666667,15.56,15.81,2,15.685
"50",2020-09-26,20,1,15.56,15.56,15.56,3,15.56
"51",2020-09-26,40,1,15.56,15.56,15.56,4,15.56
"52",2020-09-26,44,1,15.31,15.31,15.31,5,15.31
"53",2020-09-26,48,2,15.685,15.56,15.81,6,15.685
"54",2020-09-26,52,3,15.05,13.53,15.81,7,14.67
"55",2020-09-26,56,2,15.685,15.56,15.81,8,15.685
"56",2020-09-26,248,1,11.24,11.24,11.24,9,11.24
"57",2020-09-27,0,5,15.862,15.81,16.07,1,15.94
"58",2020-09-27,4,1,15.81,15.81,15.81,2,15.81
"59",2020-09-27,12,1,15.81,15.81,15.81,3,15.81
"60",2020-09-27,20,1,15.56,15.56,15.56,4,15.56
"61",2020-09-27,40,1,15.56,15.56,15.56,5,15.56
"62",2020-09-27,44,2,15.56,15.31,15.81,6,15.56
"63",2020-09-27,48,2,15.685,15.56,15.81,7,15.685
"64",2020-09-27,56,1,15.56,15.56,15.56,8,15.56
"65",2020-09-27,60,1,15.56,15.56,15.56,9,15.56
"66",2020-09-27,224,1,11.5,11.5,11.5,10,11.5
