"","date","Depth","nrecs","MeanTemp","MinTemp","MaxTemp","bin","MeanPDT"
"1",2020-09-20,0,1,15.05,15.05,15.05,1,15.05
"2",2020-09-20,4,2,15.05,15.05,15.05,2,15.05
"3",2020-09-20,8,1,14.8,14.8,14.8,3,14.8
"4",2020-09-20,12,1,15.05,15.05,15.05,4,15.05
"5",2020-09-20,36,2,14.925,14.8,15.05,5,14.925
"6",2020-09-21,0,2,14.8,14.8,14.8,1,14.8
"7",2020-09-21,4,2,14.925,14.8,15.05,2,14.925
"8",2020-09-21,8,2,14.925,14.8,15.05,3,14.925
"9",2020-09-21,16,1,14.8,14.8,14.8,4,14.8
"10",2020-09-21,24,2,14.415,14.29,14.54,5,14.415
"11",2020-09-21,28,1,14.54,14.54,14.54,6,14.54
"12",2020-09-21,32,1,14.54,14.54,14.54,7,14.54
"13",2020-09-21,36,1,14.54,14.54,14.54,8,14.54
"14",2020-09-21,40,2,14.8,14.8,14.8,9,14.8
"15",2020-09-21,44,2,14.545,14.29,14.8,10,14.545
"16",2020-09-21,48,4,14.54,14.54,14.54,11,14.54
"17",2020-09-21,52,2,14.67,14.54,14.8,12,14.67
"18",2020-09-21,56,2,14.415,14.29,14.54,13,14.415
"19",2020-09-21,60,1,14.54,14.54,14.54,14,14.54
"20",2020-09-22,0,11,14.7763636363636,14.54,14.8,1,14.67
"21",2020-09-22,4,1,14.8,14.8,14.8,2,14.8
"22",2020-09-22,8,2,14.8,14.8,14.8,3,14.8
"23",2020-09-22,12,1,14.8,14.8,14.8,4,14.8
"24",2020-09-22,20,2,14.8,14.8,14.8,5,14.8
"25",2020-09-22,24,1,14.54,14.54,14.54,6,14.54
"26",2020-09-22,32,1,14.8,14.8,14.8,7,14.8
"27",2020-09-22,40,1,14.54,14.54,14.54,8,14.54
"28",2020-09-22,44,1,14.54,14.54,14.54,9,14.54
"29",2020-09-22,52,3,14.4566666666667,14.29,14.54,10,14.415
"30",2020-09-22,56,1,14.54,14.54,14.54,11,14.54
"31",2020-09-23,0,6,14.7133333333333,14.54,14.8,1,14.67
"32",2020-09-23,4,3,14.7133333333333,14.54,14.8,2,14.67
"33",2020-09-23,8,2,14.8,14.8,14.8,3,14.8
"34",2020-09-23,12,1,14.8,14.8,14.8,4,14.8
"35",2020-09-23,16,2,14.67,14.54,14.8,5,14.67
"36",2020-09-23,20,2,14.67,14.54,14.8,6,14.67
"37",2020-09-23,24,2,14.67,14.54,14.8,7,14.67
"38",2020-09-23,28,2,14.67,14.54,14.8,8,14.67
"39",2020-09-23,32,1,14.54,14.54,14.54,9,14.54
"40",2020-09-23,36,1,14.54,14.54,14.54,10,14.54
"41",2020-09-23,48,2,14.54,14.54,14.54,11,14.54
"42",2020-09-23,60,1,14.54,14.54,14.54,12,14.54
"43",2020-09-24,0,4,14.54,14.54,14.54,1,14.54
"44",2020-09-24,4,1,14.54,14.54,14.54,2,14.54
"45",2020-09-24,12,1,14.54,14.54,14.54,3,14.54
"46",2020-09-24,24,1,14.54,14.54,14.54,4,14.54
"47",2020-09-24,28,1,14.8,14.8,14.8,5,14.8
"48",2020-09-24,32,3,14.7133333333333,14.54,14.8,6,14.67
"49",2020-09-24,36,2,14.8,14.8,14.8,7,14.8
"50",2020-09-24,40,4,14.67,14.54,14.8,8,14.67
"51",2020-09-24,44,2,14.67,14.54,14.8,9,14.67
"52",2020-09-24,48,2,14.8,14.8,14.8,10,14.8
"53",2020-09-24,52,1,14.54,14.54,14.54,11,14.54
"54",2020-09-24,56,1,14.54,14.54,14.54,12,14.54
"55",2020-09-24,60,1,14.54,14.54,14.54,13,14.54
"56",2020-09-24,68,1,14.54,14.54,14.54,14,14.54
"57",2020-09-25,0,1,14.54,14.54,14.54,1,14.54
"58",2020-09-25,4,2,14.54,14.54,14.54,2,14.54
"59",2020-09-25,12,1,14.54,14.54,14.54,3,14.54
"60",2020-09-25,16,3,14.7133333333333,14.54,14.8,4,14.67
"61",2020-09-25,28,1,14.8,14.8,14.8,5,14.8
"62",2020-09-25,32,1,14.8,14.8,14.8,6,14.8
"63",2020-09-25,36,1,14.8,14.8,14.8,7,14.8
"64",2020-09-25,40,6,14.7133333333333,14.54,14.8,8,14.67
"65",2020-09-25,44,1,14.8,14.8,14.8,9,14.8
"66",2020-09-25,48,3,14.8,14.8,14.8,10,14.8
"67",2020-09-25,52,4,14.735,14.54,14.8,11,14.67
"68",2020-09-25,56,1,14.8,14.8,14.8,12,14.8
"69",2020-09-26,0,1,14.54,14.54,14.54,1,14.54
"70",2020-09-26,4,1,14.54,14.54,14.54,2,14.54
"71",2020-09-26,16,1,14.54,14.54,14.54,3,14.54
