"","date","Depth","nrecs","MeanTemp","MinTemp","MaxTemp","bin","MeanPDT"
"1",2020-09-20,0,2,14.8,14.8,14.8,1,14.8
"2",2020-09-20,4,2,14.8,14.8,14.8,2,14.8
"3",2020-09-20,8,1,14.8,14.8,14.8,3,14.8
"4",2020-09-20,12,2,14.8,14.8,14.8,4,14.8
"5",2020-09-20,16,1,14.54,14.54,14.54,5,14.54
"6",2020-09-20,20,1,14.8,14.8,14.8,6,14.8
"7",2020-09-20,28,3,14.54,14.54,14.54,7,14.54
"8",2020-09-20,32,1,14.8,14.8,14.8,8,14.8
"9",2020-09-20,56,1,14.8,14.8,14.8,9,14.8
"10",2020-09-21,0,3,14.8,14.8,14.8,1,14.8
"11",2020-09-21,4,9,14.8,14.8,14.8,2,14.8
"12",2020-09-21,8,1,14.8,14.8,14.8,3,14.8
"13",2020-09-21,12,4,14.8,14.8,14.8,4,14.8
"14",2020-09-21,16,4,14.8,14.8,14.8,5,14.8
"15",2020-09-21,20,1,14.54,14.54,14.54,6,14.54
"16",2020-09-21,24,3,14.7133333333333,14.54,14.8,7,14.67
"17",2020-09-21,28,1,14.54,14.54,14.54,8,14.54
"18",2020-09-21,32,5,14.592,14.54,14.8,9,14.67
"19",2020-09-21,36,2,14.67,14.54,14.8,10,14.67
"20",2020-09-21,40,2,14.54,14.54,14.54,11,14.54
"21",2020-09-21,48,1,14.54,14.54,14.54,12,14.54
"22",2020-09-22,0,10,14.566,14.54,14.8,1,14.67
"23",2020-09-22,4,7,14.6885714285714,14.54,14.8,2,14.67
"24",2020-09-22,8,3,14.7133333333333,14.54,14.8,3,14.67
"25",2020-09-22,16,2,14.67,14.54,14.8,4,14.67
"26",2020-09-22,20,5,14.748,14.54,14.8,5,14.67
"27",2020-09-22,24,3,14.6266666666667,14.54,14.8,6,14.67
"28",2020-09-22,28,1,14.54,14.54,14.54,7,14.54
"29",2020-09-22,32,2,14.67,14.54,14.8,8,14.67
"30",2020-09-22,40,3,14.54,14.54,14.54,9,14.54
"31",2020-09-23,0,8,14.54,14.54,14.54,1,14.54
"32",2020-09-23,4,7,14.54,14.54,14.54,2,14.54
"33",2020-09-23,8,2,14.54,14.54,14.54,3,14.54
"34",2020-09-23,16,3,14.54,14.54,14.54,4,14.54
"35",2020-09-23,20,2,14.54,14.54,14.54,5,14.54
"36",2020-09-23,32,3,14.54,14.54,14.54,6,14.54
"37",2020-09-23,36,3,14.54,14.54,14.54,7,14.54
"38",2020-09-23,40,2,14.54,14.54,14.54,8,14.54
"39",2020-09-23,44,2,14.54,14.54,14.54,9,14.54
"40",2020-09-23,48,2,14.54,14.54,14.54,10,14.54
"41",2020-09-23,52,2,14.54,14.54,14.54,11,14.54
"42",2020-09-24,0,7,14.54,14.54,14.54,1,14.54
"43",2020-09-24,4,7,14.5042857142857,14.29,14.54,2,14.415
"44",2020-09-24,8,8,14.54,14.54,14.54,3,14.54
"45",2020-09-24,12,8,14.54,14.54,14.54,4,14.54
"46",2020-09-24,16,2,14.54,14.54,14.54,5,14.54
"47",2020-09-24,24,1,14.54,14.54,14.54,6,14.54
"48",2020-09-24,36,1,14.54,14.54,14.54,7,14.54
"49",2020-09-24,40,1,14.54,14.54,14.54,8,14.54
"50",2020-09-24,48,1,14.54,14.54,14.54,9,14.54
"51",2020-09-25,0,3,14.4566666666667,14.29,14.54,1,14.415
"52",2020-09-25,4,8,14.44625,14.29,14.54,2,14.415
"53",2020-09-25,8,14,14.415,14.29,14.54,3,14.415
"54",2020-09-25,12,6,14.54,14.54,14.54,4,14.54
"55",2020-09-25,20,2,14.415,14.29,14.54,5,14.415
"56",2020-09-25,24,2,14.415,14.29,14.54,6,14.415
"57",2020-09-25,44,1,14.54,14.54,14.54,7,14.54
"58",2020-09-26,0,1,14.29,14.29,14.29,1,14.29
"59",2020-09-26,4,2,14.29,14.29,14.29,2,14.29
"60",2020-09-26,8,1,14.29,14.29,14.29,3,14.29
"61",2020-09-26,16,2,14.415,14.29,14.54,4,14.415
"62",2020-09-26,20,5,14.49,14.29,14.54,5,14.415
"63",2020-09-26,24,6,14.4566666666667,14.29,14.54,6,14.415
"64",2020-09-26,28,8,14.4775,14.29,14.54,7,14.415
"65",2020-09-26,32,4,14.54,14.54,14.54,8,14.54
"66",2020-09-26,36,2,14.415,14.29,14.54,9,14.415
"67",2020-09-26,40,2,14.29,14.29,14.29,10,14.29
"68",2020-09-26,44,2,14.29,14.29,14.29,11,14.29
"69",2020-09-26,56,1,14.29,14.29,14.29,12,14.29
"70",2020-09-27,0,2,14.29,14.29,14.29,1,14.29
"71",2020-09-27,4,1,14.29,14.29,14.29,2,14.29
"72",2020-09-27,8,3,14.29,14.29,14.29,3,14.29
"73",2020-09-27,12,3,14.29,14.29,14.29,4,14.29
"74",2020-09-27,16,3,14.29,14.29,14.29,5,14.29
"75",2020-09-27,20,2,14.29,14.29,14.29,6,14.29
"76",2020-09-27,24,8,14.3525,14.29,14.54,7,14.415
"77",2020-09-27,28,6,14.29,14.29,14.29,8,14.29
"78",2020-09-27,32,2,14.29,14.29,14.29,9,14.29
"79",2020-09-28,0,2,14.29,14.29,14.29,1,14.29
"80",2020-09-28,4,3,14.29,14.29,14.29,2,14.29
"81",2020-09-28,8,7,14.29,14.29,14.29,3,14.29
"82",2020-09-28,16,2,14.29,14.29,14.29,4,14.29
"83",2020-09-28,28,1,14.29,14.29,14.29,5,14.29
"84",2020-09-28,32,1,14.29,14.29,14.29,6,14.29
"85",2020-09-28,36,1,14.29,14.29,14.29,7,14.29
"86",2020-09-28,44,2,14.29,14.29,14.29,8,14.29
"87",2020-09-28,48,2,14.29,14.29,14.29,9,14.29
"88",2020-09-28,52,1,14.29,14.29,14.29,10,14.29
"89",2020-09-29,0,1,14.29,14.29,14.29,1,14.29
"90",2020-09-29,4,3,14.29,14.29,14.29,2,14.29
"91",2020-09-29,8,4,14.29,14.29,14.29,3,14.29
"92",2020-09-29,12,2,14.29,14.29,14.29,4,14.29
"93",2020-09-29,16,1,14.29,14.29,14.29,5,14.29
"94",2020-09-29,20,3,14.29,14.29,14.29,6,14.29
"95",2020-09-29,24,3,14.4566666666667,14.29,14.54,7,14.415
"96",2020-09-29,28,3,14.4566666666667,14.29,14.54,8,14.415
"97",2020-09-29,36,1,14.54,14.54,14.54,9,14.54
"98",2020-09-29,40,3,14.4566666666667,14.29,14.54,10,14.415
"99",2020-09-29,48,1,14.29,14.29,14.29,11,14.29
"100",2020-09-29,52,1,14.29,14.29,14.29,12,14.29
"101",2020-09-30,0,1,14.29,14.29,14.29,1,14.29
"102",2020-09-30,4,5,14.29,14.29,14.29,2,14.29
"103",2020-09-30,8,7,14.29,14.29,14.29,3,14.29
"104",2020-09-30,12,4,14.29,14.29,14.29,4,14.29
"105",2020-09-30,16,3,14.29,14.29,14.29,5,14.29
"106",2020-09-30,20,1,14.29,14.29,14.29,6,14.29
"107",2020-09-30,24,2,14.29,14.29,14.29,7,14.29
"108",2020-09-30,28,5,14.29,14.29,14.29,8,14.29
"109",2020-09-30,32,5,14.29,14.29,14.29,9,14.29
"110",2020-09-30,40,1,14.29,14.29,14.29,10,14.29
"111",2020-09-30,48,1,14.29,14.29,14.29,11,14.29
"112",2020-09-30,52,1,14.29,14.29,14.29,12,14.29
"113",2020-10-01,0,1,14.29,14.29,14.29,1,14.29
"114",2020-10-01,4,8,14.2275,14.04,14.29,2,14.165
"115",2020-10-01,8,10,14.09,14.04,14.29,3,14.165
"116",2020-10-01,12,3,14.2066666666667,14.04,14.29,4,14.165
"117",2020-10-01,16,4,14.2275,14.04,14.29,5,14.165
"118",2020-10-01,24,1,14.29,14.29,14.29,6,14.29
"119",2020-10-01,28,3,14.2066666666667,14.04,14.29,7,14.165
"120",2020-10-01,32,1,14.29,14.29,14.29,8,14.29
"121",2020-10-01,36,2,14.29,14.29,14.29,9,14.29
"122",2020-10-01,40,1,14.29,14.29,14.29,10,14.29
"123",2020-10-01,44,1,14.04,14.04,14.04,11,14.04
"124",2020-10-01,48,1,14.29,14.29,14.29,12,14.29
"125",2020-10-02,0,5,14.04,14.04,14.04,1,14.04
"126",2020-10-02,4,2,14.04,14.04,14.04,2,14.04
"127",2020-10-02,8,4,14.165,14.04,14.29,3,14.165
"128",2020-10-02,12,3,14.04,14.04,14.04,4,14.04
"129",2020-10-02,16,2,14.165,14.04,14.29,5,14.165
"130",2020-10-02,20,2,14.04,14.04,14.04,6,14.04
"131",2020-10-02,24,2,14.04,14.04,14.04,7,14.04
"132",2020-10-02,28,2,14.04,14.04,14.04,8,14.04
"133",2020-10-02,32,1,14.04,14.04,14.04,9,14.04
"134",2020-10-02,36,2,14.04,14.04,14.04,10,14.04
"135",2020-10-02,40,2,14.04,14.04,14.04,11,14.04
"136",2020-10-02,44,2,14.165,14.04,14.29,12,14.165
"137",2020-10-02,72,1,13.78,13.78,13.78,13,13.78
