pdt_number,junk,Datetime,depth,mintemp,maxtemp,meantemp,junk2,junk3
1,junk,10/14/2018 11:00:00,0.000000,13.00,13.20,13.1,99999,99999
1,junk,10/14/2018 11:00:00,8.000000,13.00,13.20,13.1,99999,99999
1,junk,10/14/2018 11:00:00,24.000000,13.00,13.20,13.1,99999,99999
1,junk,10/14/2018 11:00:00,40.000000,13.00,13.40,13.2,99999,99999
1,junk,10/14/2018 11:00:00,56.000000,13.00,13.40,13.2,99999,99999
1,junk,10/14/2018 11:00:00,80.000000,13.00,13.20,13.1,99999,99999
2,junk,10/15/2018 00:00:00,0.000000,12.20,13.00,12.6,99999,99999
2,junk,10/15/2018 00:00:00,8.000000,12.20,13.00,12.6,99999,99999
2,junk,10/15/2018 00:00:00,24.000000,12.20,13.20,12.7,99999,99999
2,junk,10/15/2018 00:00:00,40.000000,12.20,13.00,12.6,99999,99999
2,junk,10/15/2018 00:00:00,64.000000,11.80,13.00,12.4,99999,99999
2,junk,10/15/2018 00:00:00,80.000000,11.20,12.80,12.0,99999,99999
2,junk,10/15/2018 00:00:00,96.000000,10.20,12.60,11.399999999999999,99999,99999
2,junk,10/15/2018 00:00:00,120.000000,11.20,11.20,11.2,99999,99999
3,junk,10/17/2018 00:00:00,0.000000,12.60,13.00,12.8,99999,99999
3,junk,10/17/2018 00:00:00,24.000000,12.60,13.00,12.8,99999,99999
3,junk,10/17/2018 00:00:00,72.000000,12.00,13.00,12.5,99999,99999
3,junk,10/17/2018 00:00:00,128.000000,11.00,11.80,11.4,99999,99999
3,junk,10/17/2018 00:00:00,192.000000,10.60,11.00,10.8,99999,99999
3,junk,10/17/2018 00:00:00,280.000000,10.20,10.80,10.5,99999,99999
3,junk,10/17/2018 00:00:00,320.000000,10.20,10.80,10.5,99999,99999
3,junk,10/17/2018 00:00:00,360.000000,10.20,10.20,10.2,99999,99999
4,junk,10/18/2018 00:00:00,0.000000,13.00,13.60,13.3,99999,99999
4,junk,10/18/2018 00:00:00,16.000000,13.00,13.60,13.3,99999,99999
4,junk,10/18/2018 00:00:00,56.000000,12.80,13.60,13.2,99999,99999
4,junk,10/18/2018 00:00:00,88.000000,12.00,13.40,12.7,99999,99999
4,junk,10/18/2018 00:00:00,128.000000,11.00,12.40,11.7,99999,99999
4,junk,10/18/2018 00:00:00,168.000000,11.80,11.80,11.8,99999,99999
4,junk,10/18/2018 00:00:00,208.000000,11.40,11.40,11.4,99999,99999
4,junk,10/18/2018 00:00:00,256.000000,11.00,11.20,11.1,99999,99999
5,junk,10/19/2018 00:00:00,0.000000,13.40,14.00,13.7,99999,99999
5,junk,10/19/2018 00:00:00,40.000000,13.40,14.00,13.7,99999,99999
5,junk,10/19/2018 00:00:00,152.000000,11.40,12.60,12.0,99999,99999
5,junk,10/19/2018 00:00:00,224.000000,11.20,11.40,11.3,99999,99999
5,junk,10/19/2018 00:00:00,400.000000,10.60,10.80,10.7,99999,99999
5,junk,10/19/2018 00:00:00,456.000000,10.40,10.60,10.5,99999,99999
5,junk,10/19/2018 00:00:00,512.000000,10.20,10.40,10.3,99999,99999
5,junk,10/19/2018 00:00:00,632.000000,10.00,10.00,10.0,99999,99999
