pdt_number,junk,Datetime,depth,mintemp,maxtemp,meantemp,junk2,junk3
1,junk,12/04/2018 00:00:00,0.000000,15.20,17.40,16.299999999999997,99999,99999
1,junk,12/04/2018 00:00:00,32.000000,15.40,17.40,16.4,99999,99999
1,junk,12/04/2018 00:00:00,104.000000,15.40,17.60,16.5,99999,99999
1,junk,12/04/2018 00:00:00,176.000000,15.40,16.20,15.8,99999,99999
1,junk,12/04/2018 00:00:00,240.000000,14.40,14.80,14.600000000000001,99999,99999
1,junk,12/04/2018 00:00:00,336.000000,13.20,13.60,13.399999999999999,99999,99999
1,junk,12/04/2018 00:00:00,392.000000,12.20,12.60,12.399999999999999,99999,99999
1,junk,12/04/2018 00:00:00,472.000000,11.00,11.00,11.0,99999,99999
2,junk,01/01/2019 00:00:00,0.000000,16.00,16.60,16.3,99999,99999
2,junk,01/01/2019 00:00:00,32.000000,16.20,16.60,16.4,99999,99999
2,junk,01/01/2019 00:00:00,88.000000,14.80,16.60,15.700000000000001,99999,99999
2,junk,01/01/2019 00:00:00,176.000000,14.60,16.00,15.3,99999,99999
2,junk,01/01/2019 00:00:00,208.000000,14.20,15.60,14.899999999999999,99999,99999
2,junk,01/01/2019 00:00:00,280.000000,14.40,15.00,14.7,99999,99999
2,junk,01/01/2019 00:00:00,328.000000,14.40,14.40,14.4,99999,99999
2,junk,01/01/2019 00:00:00,416.000000,13.40,13.40,13.4,99999,99999
3,junk,01/02/2019 00:00:00,0.000000,16.40,16.60,16.5,99999,99999
3,junk,01/02/2019 00:00:00,8.000000,16.40,16.60,16.5,99999,99999
3,junk,01/02/2019 00:00:00,32.000000,16.40,16.60,16.5,99999,99999
3,junk,01/02/2019 00:00:00,56.000000,16.40,16.60,16.5,99999,99999
3,junk,01/02/2019 00:00:00,80.000000,16.40,16.60,16.5,99999,99999
3,junk,01/02/2019 00:00:00,96.000000,16.40,16.40,16.4,99999,99999
3,junk,01/02/2019 00:00:00,128.000000,15.80,16.40,16.1,99999,99999
3,junk,01/02/2019 00:00:00,152.000000,15.40,16.00,15.7,99999,99999
4,junk,01/03/2019 00:00:00,0.000000,16.20,16.40,16.299999999999997,99999,99999
4,junk,01/03/2019 00:00:00,8.000000,16.20,16.40,16.299999999999997,99999,99999
4,junk,01/03/2019 00:00:00,32.000000,16.40,16.40,16.4,99999,99999
4,junk,01/03/2019 00:00:00,56.000000,16.40,16.40,16.4,99999,99999
4,junk,01/03/2019 00:00:00,72.000000,16.40,16.40,16.4,99999,99999
4,junk,01/03/2019 00:00:00,96.000000,16.20,16.40,16.299999999999997,99999,99999
4,junk,01/03/2019 00:00:00,120.000000,15.60,16.40,16.0,99999,99999
4,junk,01/03/2019 00:00:00,144.000000,15.20,15.60,15.399999999999999,99999,99999
5,junk,01/05/2019 00:00:00,0.000000,14.20,16.20,15.2,99999,99999
5,junk,01/05/2019 00:00:00,8.000000,14.20,16.20,15.2,99999,99999
5,junk,01/05/2019 00:00:00,40.000000,14.20,16.20,15.2,99999,99999
5,junk,01/05/2019 00:00:00,72.000000,14.40,16.20,15.3,99999,99999
5,junk,01/05/2019 00:00:00,120.000000,14.00,16.00,15.0,99999,99999
5,junk,01/05/2019 00:00:00,144.000000,13.80,15.80,14.8,99999,99999
