pdt_number,junk,Datetime,depth,mintemp,maxtemp,meantemp,junk2,junk3
1,junk,09/29/2018 11:00:00,0.000000,13.40,13.80,13.600000000000001,99999,99999
1,junk,09/29/2018 11:00:00,8.000000,13.40,13.80,13.600000000000001,99999,99999
1,junk,09/29/2018 11:00:00,32.000000,13.40,13.80,13.600000000000001,99999,99999
1,junk,09/29/2018 11:00:00,40.000000,13.40,13.80,13.600000000000001,99999,99999
1,junk,09/29/2018 11:00:00,56.000000,13.40,13.80,13.600000000000001,99999,99999
1,junk,09/29/2018 11:00:00,72.000000,13.60,13.60,13.6,99999,99999
2,junk,09/30/2018 00:00:00,0.000000,12.60,13.60,13.1,99999,99999
2,junk,09/30/2018 00:00:00,8.000000,12.60,13.60,13.1,99999,99999
2,junk,09/30/2018 00:00:00,24.000000,12.60,13.60,13.1,99999,99999
2,junk,09/30/2018 00:00:00,40.000000,12.60,13.60,13.1,99999,99999
2,junk,09/30/2018 00:00:00,56.000000,12.60,13.60,13.1,99999,99999
2,junk,09/30/2018 00:00:00,72.000000,12.00,13.60,12.8,99999,99999
2,junk,09/30/2018 00:00:00,88.000000,12.60,12.80,12.7,99999,99999
3,junk,10/01/2018 00:00:00,0.000000,12.80,13.80,13.3,99999,99999
3,junk,10/01/2018 00:00:00,8.000000,12.80,13.80,13.3,99999,99999
3,junk,10/01/2018 00:00:00,24.000000,12.80,13.80,13.3,99999,99999
3,junk,10/01/2018 00:00:00,40.000000,12.80,13.80,13.3,99999,99999
3,junk,10/01/2018 00:00:00,56.000000,12.40,13.80,13.100000000000001,99999,99999
3,junk,10/01/2018 00:00:00,72.000000,12.20,13.40,12.8,99999,99999
3,junk,10/01/2018 00:00:00,96.000000,10.20,10.20,10.2,99999,99999
4,junk,10/02/2018 00:00:00,0.000000,13.00,13.80,13.4,99999,99999
4,junk,10/02/2018 00:00:00,8.000000,13.00,13.80,13.4,99999,99999
4,junk,10/02/2018 00:00:00,24.000000,13.00,13.80,13.4,99999,99999
4,junk,10/02/2018 00:00:00,48.000000,12.20,13.80,13.0,99999,99999
4,junk,10/02/2018 00:00:00,56.000000,11.00,13.80,12.4,99999,99999
4,junk,10/02/2018 00:00:00,72.000000,10.20,12.40,11.3,99999,99999
4,junk,10/02/2018 00:00:00,88.000000,9.60,10.40,10.0,99999,99999
5,junk,10/03/2018 00:00:00,0.000000,13.60,14.60,14.1,99999,99999
5,junk,10/03/2018 00:00:00,8.000000,13.60,14.60,14.1,99999,99999
5,junk,10/03/2018 00:00:00,32.000000,13.60,14.40,14.0,99999,99999
5,junk,10/03/2018 00:00:00,64.000000,11.20,14.40,12.8,99999,99999
5,junk,10/03/2018 00:00:00,88.000000,10.00,11.60,10.8,99999,99999
5,junk,10/03/2018 00:00:00,120.000000,10.20,10.60,10.399999999999999,99999,99999
5,junk,10/03/2018 00:00:00,144.000000,10.60,10.60,10.6,99999,99999
5,junk,10/03/2018 00:00:00,176.000000,10.60,10.60,10.6,99999,99999
6,junk,10/04/2018 00:00:00,0.000000,14.40,15.60,15.0,99999,99999
6,junk,10/04/2018 00:00:00,40.000000,14.20,15.60,14.899999999999999,99999,99999
6,junk,10/04/2018 00:00:00,56.000000,13.20,15.40,14.3,99999,99999
6,junk,10/04/2018 00:00:00,96.000000,11.20,12.60,11.899999999999999,99999,99999
6,junk,10/04/2018 00:00:00,144.000000,10.80,11.60,11.2,99999,99999
6,junk,10/04/2018 00:00:00,168.000000,11.00,11.20,11.1,99999,99999
6,junk,10/04/2018 00:00:00,208.000000,11.00,11.00,11.0,99999,99999
6,junk,10/04/2018 00:00:00,264.000000,11.00,11.00,11.0,99999,99999
7,junk,10/05/2018 00:00:00,0.000000,15.40,16.40,15.899999999999999,99999,99999
7,junk,10/05/2018 00:00:00,8.000000,15.40,16.40,15.899999999999999,99999,99999
7,junk,10/05/2018 00:00:00,32.000000,14.20,16.20,15.2,99999,99999
7,junk,10/05/2018 00:00:00,56.000000,13.00,16.00,14.5,99999,99999
7,junk,10/05/2018 00:00:00,80.000000,12.40,13.60,13.0,99999,99999
7,junk,10/05/2018 00:00:00,104.000000,12.00,12.60,12.3,99999,99999
7,junk,10/05/2018 00:00:00,128.000000,11.80,12.20,12.0,99999,99999
7,junk,10/05/2018 00:00:00,152.000000,11.80,11.80,11.8,99999,99999
8,junk,10/07/2018 00:00:00,0.000000,16.20,17.00,16.6,99999,99999
8,junk,10/07/2018 00:00:00,16.000000,16.00,16.80,16.4,99999,99999
8,junk,10/07/2018 00:00:00,56.000000,14.00,16.80,15.4,99999,99999
8,junk,10/07/2018 00:00:00,104.000000,12.40,13.40,12.9,99999,99999
8,junk,10/07/2018 00:00:00,128.000000,12.20,13.20,12.7,99999,99999
8,junk,10/07/2018 00:00:00,184.000000,11.80,11.80,11.8,99999,99999
8,junk,10/07/2018 00:00:00,200.000000,11.60,11.80,11.7,99999,99999
8,junk,10/07/2018 00:00:00,256.000000,11.60,11.60,11.6,99999,99999
9,junk,10/08/2018 00:00:00,0.000000,15.60,17.00,16.3,99999,99999
9,junk,10/08/2018 00:00:00,24.000000,15.20,17.00,16.1,99999,99999
9,junk,10/08/2018 00:00:00,72.000000,13.00,16.40,14.7,99999,99999
9,junk,10/08/2018 00:00:00,136.000000,11.60,13.00,12.3,99999,99999
9,junk,10/08/2018 00:00:00,216.000000,11.40,12.40,11.9,99999,99999
9,junk,10/08/2018 00:00:00,264.000000,11.40,11.80,11.600000000000001,99999,99999
9,junk,10/08/2018 00:00:00,312.000000,11.40,11.80,11.600000000000001,99999,99999
9,junk,10/08/2018 00:00:00,344.000000,11.20,11.40,11.3,99999,99999
10,junk,10/09/2018 00:00:00,0.000000,15.80,16.80,16.3,99999,99999
10,junk,10/09/2018 00:00:00,8.000000,15.60,16.80,16.2,99999,99999
10,junk,10/09/2018 00:00:00,32.000000,15.00,16.60,15.8,99999,99999
10,junk,10/09/2018 00:00:00,56.000000,13.20,16.60,14.9,99999,99999
10,junk,10/09/2018 00:00:00,80.000000,12.20,13.20,12.7,99999,99999
10,junk,10/09/2018 00:00:00,112.000000,11.80,12.00,11.9,99999,99999
10,junk,10/09/2018 00:00:00,128.000000,11.80,11.80,11.8,99999,99999
10,junk,10/09/2018 00:00:00,160.000000,11.80,11.80,11.8,99999,99999
11,junk,10/10/2018 00:00:00,0.000000,16.60,18.40,17.5,99999,99999
11,junk,10/10/2018 00:00:00,8.000000,16.60,18.40,17.5,99999,99999
11,junk,10/10/2018 00:00:00,40.000000,15.00,18.40,16.7,99999,99999
11,junk,10/10/2018 00:00:00,64.000000,13.40,18.40,15.899999999999999,99999,99999
11,junk,10/10/2018 00:00:00,96.000000,12.00,13.20,12.6,99999,99999
11,junk,10/10/2018 00:00:00,144.000000,11.60,11.80,11.7,99999,99999
11,junk,10/10/2018 00:00:00,152.000000,11.60,11.80,11.7,99999,99999
11,junk,10/10/2018 00:00:00,192.000000,11.60,11.60,11.6,99999,99999
12,junk,10/11/2018 00:00:00,0.000000,17.80,18.40,18.1,99999,99999
12,junk,10/11/2018 00:00:00,8.000000,17.80,18.40,18.1,99999,99999
12,junk,10/11/2018 00:00:00,32.000000,17.60,18.40,18.0,99999,99999
12,junk,10/11/2018 00:00:00,56.000000,14.20,18.00,16.1,99999,99999
12,junk,10/11/2018 00:00:00,80.000000,12.60,17.00,14.8,99999,99999
12,junk,10/11/2018 00:00:00,104.000000,12.20,12.40,12.3,99999,99999
12,junk,10/11/2018 00:00:00,128.000000,12.00,12.20,12.1,99999,99999
12,junk,10/11/2018 00:00:00,152.000000,12.00,12.00,12.0,99999,99999
13,junk,10/12/2018 00:00:00,0.000000,18.00,18.40,18.2,99999,99999
13,junk,10/12/2018 00:00:00,24.000000,18.00,18.40,18.2,99999,99999
13,junk,10/12/2018 00:00:00,112.000000,12.00,12.80,12.4,99999,99999
13,junk,10/12/2018 00:00:00,152.000000,12.00,12.00,12.0,99999,99999
13,junk,10/12/2018 00:00:00,232.000000,11.80,11.80,11.8,99999,99999
13,junk,10/12/2018 00:00:00,272.000000,11.60,11.80,11.7,99999,99999
13,junk,10/12/2018 00:00:00,304.000000,11.60,11.60,11.6,99999,99999
13,junk,10/12/2018 00:00:00,376.000000,11.60,11.60,11.6,99999,99999
14,junk,10/13/2018 00:00:00,0.000000,18.00,18.80,18.4,99999,99999
14,junk,10/13/2018 00:00:00,32.000000,18.00,18.80,18.4,99999,99999
14,junk,10/13/2018 00:00:00,128.000000,12.00,12.60,12.3,99999,99999
14,junk,10/13/2018 00:00:00,216.000000,12.00,12.00,12.0,99999,99999
14,junk,10/13/2018 00:00:00,232.000000,12.00,12.00,12.0,99999,99999
14,junk,10/13/2018 00:00:00,360.000000,11.60,11.60,11.6,99999,99999
14,junk,10/13/2018 00:00:00,368.000000,11.60,11.60,11.6,99999,99999
14,junk,10/13/2018 00:00:00,464.000000,11.00,11.00,11.0,99999,99999
15,junk,10/14/2018 00:00:00,0.000000,18.40,18.80,18.6,99999,99999
15,junk,10/14/2018 00:00:00,24.000000,18.20,18.80,18.5,99999,99999
15,junk,10/14/2018 00:00:00,72.000000,14.40,18.00,16.2,99999,99999
15,junk,10/14/2018 00:00:00,136.000000,12.00,12.20,12.1,99999,99999
15,junk,10/14/2018 00:00:00,168.000000,11.80,11.80,11.8,99999,99999
15,junk,10/14/2018 00:00:00,232.000000,11.60,11.80,11.7,99999,99999
15,junk,10/14/2018 00:00:00,272.000000,11.60,11.60,11.6,99999,99999
15,junk,10/14/2018 00:00:00,328.000000,11.60,11.60,11.6,99999,99999
16,junk,10/15/2018 00:00:00,0.000000,18.40,18.80,18.6,99999,99999
16,junk,10/15/2018 00:00:00,16.000000,18.40,18.80,18.6,99999,99999
16,junk,10/15/2018 00:00:00,56.000000,14.20,18.80,16.5,99999,99999
16,junk,10/15/2018 00:00:00,120.000000,12.00,12.20,12.1,99999,99999
16,junk,10/15/2018 00:00:00,168.000000,11.80,11.80,11.8,99999,99999
16,junk,10/15/2018 00:00:00,176.000000,11.80,11.80,11.8,99999,99999
16,junk,10/15/2018 00:00:00,232.000000,11.80,11.80,11.8,99999,99999
16,junk,10/15/2018 00:00:00,272.000000,11.60,11.60,11.6,99999,99999
17,junk,10/17/2018 00:00:00,0.000000,17.20,19.00,18.1,99999,99999
17,junk,10/17/2018 00:00:00,8.000000,17.00,18.80,17.9,99999,99999
17,junk,10/17/2018 00:00:00,32.000000,12.40,18.00,15.2,99999,99999
17,junk,10/17/2018 00:00:00,56.000000,12.20,12.60,12.399999999999999,99999,99999
17,junk,10/17/2018 00:00:00,88.000000,12.00,12.20,12.1,99999,99999
17,junk,10/17/2018 00:00:00,112.000000,12.00,12.00,12.0,99999,99999
17,junk,10/17/2018 00:00:00,128.000000,12.00,12.00,12.0,99999,99999
17,junk,10/17/2018 00:00:00,152.000000,11.80,12.00,11.9,99999,99999
18,junk,10/18/2018 00:00:00,0.000000,18.60,19.60,19.1,99999,99999
18,junk,10/18/2018 00:00:00,16.000000,18.80,19.60,19.200000000000003,99999,99999
18,junk,10/18/2018 00:00:00,48.000000,13.40,19.20,16.3,99999,99999
18,junk,10/18/2018 00:00:00,96.000000,12.00,12.20,12.1,99999,99999
18,junk,10/18/2018 00:00:00,120.000000,12.00,12.00,12.0,99999,99999
18,junk,10/18/2018 00:00:00,152.000000,11.80,12.00,11.9,99999,99999
18,junk,10/18/2018 00:00:00,216.000000,11.80,11.80,11.8,99999,99999
18,junk,10/18/2018 00:00:00,240.000000,11.80,11.80,11.8,99999,99999
19,junk,10/19/2018 00:00:00,0.000000,18.60,19.40,19.0,99999,99999
