pdt_number,junk,Datetime,depth,mintemp,maxtemp,meantemp,junk2,junk3
1,junk,09/16/2020 13:00:00,0.000000,15.00,15.80,15.4,99999,99999
1,junk,09/16/2020 13:00:00,8.000000,15.00,15.60,15.3,99999,99999
1,junk,09/16/2020 13:00:00,24.000000,14.80,15.00,14.9,99999,99999
1,junk,09/16/2020 13:00:00,40.000000,14.80,15.00,14.9,99999,99999
1,junk,09/16/2020 13:00:00,56.000000,14.20,15.00,14.6,99999,99999
1,junk,09/16/2020 13:00:00,80.000000,12.80,13.00,12.9,99999,99999
2,junk,09/17/2020 00:00:00,0.000000,15.00,15.40,15.2,99999,99999
2,junk,09/17/2020 00:00:00,8.000000,14.80,15.20,15.0,99999,99999
2,junk,09/17/2020 00:00:00,24.000000,14.80,15.20,15.0,99999,99999
2,junk,09/17/2020 00:00:00,40.000000,14.60,15.00,14.8,99999,99999
2,junk,09/17/2020 00:00:00,56.000000,14.00,15.00,14.5,99999,99999
2,junk,09/17/2020 00:00:00,80.000000,12.40,14.40,13.4,99999,99999
3,junk,09/18/2020 00:00:00,0.000000,14.80,15.60,15.2,99999,99999
3,junk,09/18/2020 00:00:00,8.000000,14.60,15.40,15.0,99999,99999
3,junk,09/18/2020 00:00:00,24.000000,14.60,15.00,14.8,99999,99999
3,junk,09/18/2020 00:00:00,40.000000,14.60,15.00,14.8,99999,99999
3,junk,09/18/2020 00:00:00,56.000000,14.20,14.80,14.5,99999,99999
3,junk,09/18/2020 00:00:00,80.000000,12.00,12.20,12.1,99999,99999
4,junk,09/19/2020 00:00:00,0.000000,15.00,15.60,15.3,99999,99999
4,junk,09/19/2020 00:00:00,8.000000,14.80,15.60,15.2,99999,99999
4,junk,09/19/2020 00:00:00,24.000000,14.60,15.20,14.899999999999999,99999,99999
4,junk,09/19/2020 00:00:00,40.000000,14.60,15.00,14.8,99999,99999
4,junk,09/19/2020 00:00:00,64.000000,14.60,14.60,14.6,99999,99999
4,junk,09/19/2020 00:00:00,80.000000,13.60,14.60,14.1,99999,99999
5,junk,09/20/2020 00:00:00,0.000000,15.00,15.80,15.4,99999,99999
5,junk,09/20/2020 00:00:00,8.000000,14.80,15.60,15.2,99999,99999
5,junk,09/20/2020 00:00:00,24.000000,14.80,15.20,15.0,99999,99999
5,junk,09/20/2020 00:00:00,40.000000,14.60,15.00,14.8,99999,99999
5,junk,09/20/2020 00:00:00,64.000000,14.60,14.60,14.6,99999,99999
6,junk,09/21/2020 00:00:00,0.000000,15.00,15.40,15.2,99999,99999
6,junk,09/21/2020 00:00:00,8.000000,14.80,15.40,15.100000000000001,99999,99999
6,junk,09/21/2020 00:00:00,24.000000,14.80,15.00,14.9,99999,99999
6,junk,09/21/2020 00:00:00,40.000000,14.60,15.00,14.8,99999,99999
6,junk,09/21/2020 00:00:00,56.000000,14.40,14.60,14.5,99999,99999
7,junk,09/23/2020 00:00:00,0.000000,14.60,15.00,14.8,99999,99999
7,junk,09/23/2020 00:00:00,8.000000,14.60,15.00,14.8,99999,99999
7,junk,09/23/2020 00:00:00,24.000000,14.60,14.80,14.7,99999,99999
7,junk,09/23/2020 00:00:00,40.000000,14.60,14.80,14.7,99999,99999
7,junk,09/23/2020 00:00:00,56.000000,14.20,14.20,14.2,99999,99999
8,junk,09/24/2020 00:00:00,0.000000,14.20,14.80,14.5,99999,99999
8,junk,09/24/2020 00:00:00,8.000000,14.20,15.00,14.6,99999,99999
8,junk,09/24/2020 00:00:00,24.000000,14.20,15.00,14.6,99999,99999
8,junk,09/24/2020 00:00:00,40.000000,14.20,14.80,14.5,99999,99999
8,junk,09/24/2020 00:00:00,56.000000,14.20,14.80,14.5,99999,99999
8,junk,09/24/2020 00:00:00,72.000000,13.00,13.80,13.4,99999,99999
8,junk,09/24/2020 00:00:00,88.000000,12.00,12.20,12.1,99999,99999
9,junk,09/25/2020 00:00:00,0.000000,14.60,14.80,14.7,99999,99999
9,junk,09/25/2020 00:00:00,8.000000,14.60,14.80,14.7,99999,99999
9,junk,09/25/2020 00:00:00,24.000000,14.60,15.00,14.8,99999,99999
9,junk,09/25/2020 00:00:00,40.000000,14.60,15.00,14.8,99999,99999
9,junk,09/25/2020 00:00:00,56.000000,14.20,14.80,14.5,99999,99999
9,junk,09/25/2020 00:00:00,72.000000,12.80,14.60,13.7,99999,99999
9,junk,09/25/2020 00:00:00,96.000000,13.00,13.00,13.0,99999,99999
10,junk,09/27/2020 00:00:00,0.000000,14.60,14.60,14.6,99999,99999
10,junk,09/27/2020 00:00:00,8.000000,14.40,14.80,14.600000000000001,99999,99999
10,junk,09/27/2020 00:00:00,24.000000,14.40,14.80,14.600000000000001,99999,99999
10,junk,09/27/2020 00:00:00,40.000000,14.40,14.80,14.600000000000001,99999,99999
10,junk,09/27/2020 00:00:00,56.000000,13.80,14.60,14.2,99999,99999
10,junk,09/27/2020 00:00:00,72.000000,13.20,13.40,13.3,99999,99999
11,junk,09/28/2020 00:00:00,0.000000,14.60,14.80,14.7,99999,99999
11,junk,09/28/2020 00:00:00,8.000000,14.40,14.80,14.600000000000001,99999,99999
11,junk,09/28/2020 00:00:00,24.000000,14.40,14.80,14.600000000000001,99999,99999
11,junk,09/28/2020 00:00:00,40.000000,14.40,14.80,14.600000000000001,99999,99999
11,junk,09/28/2020 00:00:00,56.000000,14.20,14.60,14.399999999999999,99999,99999
11,junk,09/28/2020 00:00:00,80.000000,13.20,14.20,13.7,99999,99999
12,junk,09/29/2020 00:00:00,0.000000,14.40,14.80,14.600000000000001,99999,99999
12,junk,09/29/2020 00:00:00,8.000000,14.20,14.80,14.5,99999,99999
12,junk,09/29/2020 00:00:00,24.000000,14.60,15.00,14.8,99999,99999
12,junk,09/29/2020 00:00:00,40.000000,14.60,15.00,14.8,99999,99999
12,junk,09/29/2020 00:00:00,56.000000,14.20,14.60,14.399999999999999,99999,99999
12,junk,09/29/2020 00:00:00,72.000000,13.80,14.40,14.100000000000001,99999,99999
13,junk,09/30/2020 00:00:00,0.000000,14.60,14.80,14.7,99999,99999
