pdt_number,junk,Datetime,depth,mintemp,maxtemp,meantemp,junk2,junk3
1,junk,10/12/2016 10:00:00,0.000000,14.20,14.20,14.2,99999,99999
1,junk,10/12/2016 10:00:00,8.000000,14.00,14.20,14.1,99999,99999
1,junk,10/12/2016 10:00:00,24.000000,14.00,14.20,14.1,99999,99999
1,junk,10/12/2016 10:00:00,40.000000,14.00,14.40,14.2,99999,99999
1,junk,10/12/2016 10:00:00,56.000000,14.00,14.40,14.2,99999,99999
1,junk,10/12/2016 10:00:00,72.000000,14.20,14.20,14.2,99999,99999
1,junk,10/12/2016 10:00:00,88.000000,14.20,14.20,14.2,99999,99999
2,junk,10/14/2016 00:00:00,0.000000,13.80,14.00,13.9,99999,99999
2,junk,10/14/2016 00:00:00,8.000000,13.80,14.20,14.0,99999,99999
2,junk,10/14/2016 00:00:00,24.000000,13.60,14.20,13.899999999999999,99999,99999
2,junk,10/14/2016 00:00:00,40.000000,13.60,14.20,13.899999999999999,99999,99999
2,junk,10/14/2016 00:00:00,56.000000,13.40,14.20,13.8,99999,99999
2,junk,10/14/2016 00:00:00,72.000000,12.20,14.00,13.1,99999,99999
2,junk,10/14/2016 00:00:00,96.000000,11.80,13.60,12.7,99999,99999
3,junk,10/16/2016 00:00:00,0.000000,13.60,14.00,13.8,99999,99999
3,junk,10/16/2016 00:00:00,16.000000,13.60,13.80,13.7,99999,99999
3,junk,10/16/2016 00:00:00,32.000000,13.60,14.40,14.0,99999,99999
3,junk,10/16/2016 00:00:00,40.000000,13.60,14.60,14.1,99999,99999
3,junk,10/16/2016 00:00:00,56.000000,12.00,14.40,13.2,99999,99999
3,junk,10/16/2016 00:00:00,72.000000,11.20,13.40,12.3,99999,99999
3,junk,10/16/2016 00:00:00,96.000000,10.60,11.80,11.2,99999,99999
4,junk,10/17/2016 00:00:00,0.000000,13.60,14.20,13.899999999999999,99999,99999
4,junk,10/17/2016 00:00:00,8.000000,13.60,14.20,13.899999999999999,99999,99999
4,junk,10/17/2016 00:00:00,24.000000,13.60,14.20,13.899999999999999,99999,99999
4,junk,10/17/2016 00:00:00,40.000000,13.00,14.60,13.8,99999,99999
4,junk,10/17/2016 00:00:00,56.000000,12.00,14.60,13.3,99999,99999
4,junk,10/17/2016 00:00:00,72.000000,10.40,14.20,12.3,99999,99999
4,junk,10/17/2016 00:00:00,96.000000,10.20,10.80,10.5,99999,99999
4,junk,10/17/2016 00:00:00,104.000000,10.40,10.40,10.4,99999,99999
5,junk,10/18/2016 00:00:00,0.000000,13.80,14.60,14.2,99999,99999
5,junk,10/18/2016 00:00:00,8.000000,13.60,14.60,14.1,99999,99999
5,junk,10/18/2016 00:00:00,40.000000,13.40,14.60,14.0,99999,99999
5,junk,10/18/2016 00:00:00,72.000000,11.00,14.40,12.7,99999,99999
5,junk,10/18/2016 00:00:00,104.000000,10.60,12.20,11.399999999999999,99999,99999
5,junk,10/18/2016 00:00:00,152.000000,10.80,11.00,10.9,99999,99999
5,junk,10/18/2016 00:00:00,176.000000,10.80,11.00,10.9,99999,99999
5,junk,10/18/2016 00:00:00,208.000000,10.80,10.80,10.8,99999,99999
6,junk,10/19/2016 00:00:00,0.000000,14.40,14.80,14.600000000000001,99999,99999
6,junk,10/19/2016 00:00:00,16.000000,14.40,15.00,14.7,99999,99999
6,junk,10/19/2016 00:00:00,24.000000,14.40,15.00,14.7,99999,99999
6,junk,10/19/2016 00:00:00,40.000000,14.20,15.00,14.6,99999,99999
6,junk,10/19/2016 00:00:00,56.000000,12.20,15.00,13.6,99999,99999
6,junk,10/19/2016 00:00:00,72.000000,12.20,14.80,13.5,99999,99999
6,junk,10/19/2016 00:00:00,88.000000,11.80,14.80,13.3,99999,99999
6,junk,10/19/2016 00:00:00,112.000000,11.60,11.60,11.6,99999,99999
7,junk,10/23/2016 00:00:00,0.000000,15.20,15.80,15.5,99999,99999
7,junk,10/23/2016 00:00:00,32.000000,14.60,16.00,15.3,99999,99999
7,junk,10/23/2016 00:00:00,112.000000,12.40,13.20,12.8,99999,99999
7,junk,10/23/2016 00:00:00,168.000000,11.80,12.00,11.9,99999,99999
7,junk,10/23/2016 00:00:00,248.000000,11.40,11.60,11.5,99999,99999
7,junk,10/23/2016 00:00:00,304.000000,11.40,11.40,11.4,99999,99999
7,junk,10/23/2016 00:00:00,408.000000,11.20,11.20,11.2,99999,99999
7,junk,10/23/2016 00:00:00,464.000000,11.00,11.20,11.1,99999,99999
8,junk,10/24/2016 00:00:00,0.000000,16.20,16.20,16.2,99999,99999
8,junk,10/24/2016 00:00:00,24.000000,15.40,16.80,16.1,99999,99999
8,junk,10/24/2016 00:00:00,56.000000,14.20,16.60,15.4,99999,99999
8,junk,10/24/2016 00:00:00,104.000000,12.00,13.00,12.5,99999,99999
8,junk,10/24/2016 00:00:00,168.000000,11.60,11.80,11.7,99999,99999
8,junk,10/24/2016 00:00:00,184.000000,11.60,11.80,11.7,99999,99999
8,junk,10/24/2016 00:00:00,248.000000,11.60,11.60,11.6,99999,99999
8,junk,10/24/2016 00:00:00,288.000000,11.60,11.60,11.6,99999,99999
9,junk,10/25/2016 00:00:00,0.000000,16.80,17.60,17.200000000000003,99999,99999
9,junk,10/25/2016 00:00:00,16.000000,16.60,17.60,17.1,99999,99999
9,junk,10/25/2016 00:00:00,48.000000,14.00,17.40,15.7,99999,99999
9,junk,10/25/2016 00:00:00,88.000000,12.20,17.00,14.6,99999,99999
9,junk,10/25/2016 00:00:00,152.000000,12.00,12.20,12.1,99999,99999
9,junk,10/25/2016 00:00:00,176.000000,11.80,12.00,11.9,99999,99999
9,junk,10/25/2016 00:00:00,200.000000,11.80,12.00,11.9,99999,99999
9,junk,10/25/2016 00:00:00,248.000000,11.60,11.60,11.6,99999,99999
10,junk,10/27/2016 00:00:00,0.000000,17.00,18.00,17.5,99999,99999
10,junk,10/27/2016 00:00:00,8.000000,17.00,18.00,17.5,99999,99999
10,junk,10/27/2016 00:00:00,24.000000,16.80,18.00,17.4,99999,99999
10,junk,10/27/2016 00:00:00,40.000000,16.60,17.80,17.200000000000003,99999,99999
10,junk,10/27/2016 00:00:00,64.000000,14.60,14.80,14.7,99999,99999
11,junk,10/28/2016 00:00:00,0.000000,17.80,18.00,17.9,99999,99999
11,junk,10/28/2016 00:00:00,8.000000,17.80,18.00,17.9,99999,99999
11,junk,10/28/2016 00:00:00,24.000000,17.40,18.00,17.7,99999,99999
11,junk,10/28/2016 00:00:00,40.000000,16.40,18.00,17.2,99999,99999
11,junk,10/28/2016 00:00:00,64.000000,13.40,15.00,14.2,99999,99999
11,junk,10/28/2016 00:00:00,72.000000,13.60,13.60,13.6,99999,99999
12,junk,10/29/2016 00:00:00,0.000000,17.80,18.20,18.0,99999,99999
12,junk,10/29/2016 00:00:00,8.000000,17.80,18.20,18.0,99999,99999
12,junk,10/29/2016 00:00:00,24.000000,17.60,18.20,17.9,99999,99999
12,junk,10/29/2016 00:00:00,40.000000,16.60,18.00,17.3,99999,99999
