pdt_number,junk,Datetime,depth,mintemp,maxtemp,meantemp,junk2,junk3
1,junk,10/28/2016 09:00:00,0.000000,13.20,13.40,13.3,99999,99999
1,junk,10/28/2016 09:00:00,8.000000,13.20,13.40,13.3,99999,99999
1,junk,10/28/2016 09:00:00,24.000000,13.20,13.40,13.3,99999,99999
1,junk,10/28/2016 09:00:00,40.000000,13.20,13.40,13.3,99999,99999
1,junk,10/28/2016 09:00:00,56.000000,13.20,13.40,13.3,99999,99999
1,junk,10/28/2016 09:00:00,72.000000,12.80,13.40,13.100000000000001,99999,99999
1,junk,10/28/2016 09:00:00,88.000000,12.80,13.20,13.0,99999,99999
2,junk,10/30/2016 00:00:00,0.000000,13.00,13.20,13.1,99999,99999
2,junk,10/30/2016 00:00:00,16.000000,13.00,13.60,13.3,99999,99999
2,junk,10/30/2016 00:00:00,64.000000,12.00,13.40,12.7,99999,99999
2,junk,10/30/2016 00:00:00,152.000000,10.40,10.80,10.600000000000001,99999,99999
2,junk,10/30/2016 00:00:00,176.000000,10.40,10.80,10.600000000000001,99999,99999
2,junk,10/30/2016 00:00:00,200.000000,10.40,10.80,10.600000000000001,99999,99999
2,junk,10/30/2016 00:00:00,264.000000,10.20,10.60,10.399999999999999,99999,99999
2,junk,10/30/2016 00:00:00,312.000000,10.40,10.40,10.4,99999,99999
3,junk,10/31/2016 00:00:00,0.000000,13.20,13.60,13.399999999999999,99999,99999
3,junk,10/31/2016 00:00:00,24.000000,13.20,13.80,13.5,99999,99999
3,junk,10/31/2016 00:00:00,80.000000,11.20,13.60,12.399999999999999,99999,99999
3,junk,10/31/2016 00:00:00,136.000000,11.00,11.20,11.1,99999,99999
3,junk,10/31/2016 00:00:00,232.000000,10.80,11.00,10.9,99999,99999
3,junk,10/31/2016 00:00:00,272.000000,10.80,10.80,10.8,99999,99999
3,junk,10/31/2016 00:00:00,304.000000,10.80,10.80,10.8,99999,99999
3,junk,10/31/2016 00:00:00,384.000000,10.80,10.80,10.8,99999,99999
4,junk,11/06/2016 00:00:00,0.000000,14.60,15.00,14.8,99999,99999
4,junk,11/06/2016 00:00:00,32.000000,14.60,15.00,14.8,99999,99999
4,junk,11/06/2016 00:00:00,128.000000,11.80,12.40,12.100000000000001,99999,99999
4,junk,11/06/2016 00:00:00,192.000000,11.60,11.80,11.7,99999,99999
4,junk,11/06/2016 00:00:00,288.000000,11.40,11.40,11.4,99999,99999
4,junk,11/06/2016 00:00:00,368.000000,11.20,11.40,11.3,99999,99999
4,junk,11/06/2016 00:00:00,432.000000,11.00,11.20,11.1,99999,99999
4,junk,11/06/2016 00:00:00,512.000000,10.80,10.80,10.8,99999,99999
5,junk,11/09/2016 00:00:00,0.000000,14.40,14.80,14.600000000000001,99999,99999
5,junk,11/09/2016 00:00:00,24.000000,14.40,14.80,14.600000000000001,99999,99999
5,junk,11/09/2016 00:00:00,72.000000,12.40,14.80,13.600000000000001,99999,99999
5,junk,11/09/2016 00:00:00,128.000000,11.40,11.80,11.600000000000001,99999,99999
5,junk,11/09/2016 00:00:00,224.000000,11.00,11.20,11.1,99999,99999
5,junk,11/09/2016 00:00:00,248.000000,11.00,11.20,11.1,99999,99999
5,junk,11/09/2016 00:00:00,296.000000,10.80,11.00,10.9,99999,99999
5,junk,11/09/2016 00:00:00,360.000000,10.80,10.80,10.8,99999,99999
