pdt_number,junk,Datetime,depth,mintemp,maxtemp,meantemp,junk2,junk3
1,junk,10/11/2016 13:00:00,0.000000,14.20,14.20,14.2,99999,99999
1,junk,10/11/2016 13:00:00,8.000000,14.00,14.40,14.2,99999,99999
1,junk,10/11/2016 13:00:00,24.000000,14.20,14.40,14.3,99999,99999
1,junk,10/11/2016 13:00:00,40.000000,14.00,14.40,14.2,99999,99999
1,junk,10/11/2016 13:00:00,56.000000,14.00,14.40,14.2,99999,99999
1,junk,10/11/2016 13:00:00,72.000000,13.80,14.40,14.100000000000001,99999,99999
2,junk,10/11/2016 13:47:15,0.000000,14.10,14.15,14.125,99999,99999
2,junk,10/11/2016 13:47:15,8.000000,14.00,14.30,14.15,99999,99999
2,junk,10/11/2016 13:47:15,16.000000,14.00,14.30,14.15,99999,99999
2,junk,10/11/2016 13:47:15,24.000000,14.10,14.30,14.2,99999,99999
2,junk,10/11/2016 13:47:15,40.000000,14.00,14.45,14.225,99999,99999
2,junk,10/11/2016 13:47:15,48.000000,14.00,14.45,14.225,99999,99999
2,junk,10/11/2016 13:47:15,56.000000,14.00,14.45,14.225,99999,99999
2,junk,10/11/2016 13:47:15,72.000000,13.85,14.30,14.075,99999,99999
3,junk,10/12/2016 00:00:00,0.000000,13.60,14.20,13.899999999999999,99999,99999
3,junk,10/12/2016 00:00:00,8.000000,13.60,14.20,13.899999999999999,99999,99999
3,junk,10/12/2016 00:00:00,24.000000,13.60,14.20,13.899999999999999,99999,99999
3,junk,10/12/2016 00:00:00,40.000000,13.60,14.20,13.899999999999999,99999,99999
3,junk,10/12/2016 00:00:00,56.000000,13.60,14.20,13.899999999999999,99999,99999
3,junk,10/12/2016 00:00:00,72.000000,11.80,14.20,13.0,99999,99999
3,junk,10/12/2016 00:00:00,88.000000,10.20,14.00,12.1,99999,99999
3,junk,10/12/2016 00:00:00,104.000000,12.00,12.00,12.0,99999,99999
4,junk,10/13/2016 00:00:00,0.000000,13.60,14.20,13.899999999999999,99999,99999
4,junk,10/13/2016 00:00:00,8.000000,13.60,14.20,13.899999999999999,99999,99999
4,junk,10/13/2016 00:00:00,24.000000,13.60,14.20,13.899999999999999,99999,99999
4,junk,10/13/2016 00:00:00,40.000000,13.60,14.20,13.899999999999999,99999,99999
4,junk,10/13/2016 00:00:00,56.000000,13.40,14.20,13.8,99999,99999
4,junk,10/13/2016 00:00:00,72.000000,12.20,14.20,13.2,99999,99999
4,junk,10/13/2016 00:00:00,88.000000,12.20,14.20,13.2,99999,99999
4,junk,10/13/2016 00:00:00,112.000000,12.60,12.60,12.6,99999,99999
5,junk,10/14/2016 00:00:00,0.000000,13.40,13.80,13.600000000000001,99999,99999
5,junk,10/14/2016 00:00:00,8.000000,13.40,14.20,13.8,99999,99999
5,junk,10/14/2016 00:00:00,24.000000,13.40,14.20,13.8,99999,99999
5,junk,10/14/2016 00:00:00,40.000000,13.40,14.20,13.8,99999,99999
5,junk,10/14/2016 00:00:00,56.000000,13.00,14.20,13.6,99999,99999
5,junk,10/14/2016 00:00:00,72.000000,12.00,14.00,13.0,99999,99999
5,junk,10/14/2016 00:00:00,96.000000,10.60,13.80,12.2,99999,99999
5,junk,10/14/2016 00:00:00,112.000000,10.40,10.40,10.4,99999,99999
6,junk,10/15/2016 00:00:00,0.000000,13.60,13.80,13.7,99999,99999
6,junk,10/15/2016 00:00:00,16.000000,13.60,14.20,13.899999999999999,99999,99999
6,junk,10/15/2016 00:00:00,64.000000,11.40,14.00,12.7,99999,99999
6,junk,10/15/2016 00:00:00,112.000000,11.00,11.20,11.1,99999,99999
6,junk,10/15/2016 00:00:00,152.000000,10.80,10.80,10.8,99999,99999
6,junk,10/15/2016 00:00:00,200.000000,10.80,10.80,10.8,99999,99999
6,junk,10/15/2016 00:00:00,248.000000,10.80,10.80,10.8,99999,99999
6,junk,10/15/2016 00:00:00,304.000000,10.60,10.60,10.6,99999,99999
7,junk,10/16/2016 00:00:00,0.000000,14.00,14.20,14.1,99999,99999
7,junk,10/16/2016 00:00:00,8.000000,13.80,14.20,14.0,99999,99999
7,junk,10/16/2016 00:00:00,32.000000,13.80,14.40,14.100000000000001,99999,99999
7,junk,10/16/2016 00:00:00,64.000000,12.60,14.40,13.5,99999,99999
7,junk,10/16/2016 00:00:00,88.000000,11.00,13.80,12.4,99999,99999
7,junk,10/16/2016 00:00:00,112.000000,10.80,10.80,10.8,99999,99999
7,junk,10/16/2016 00:00:00,144.000000,10.80,10.80,10.8,99999,99999
7,junk,10/16/2016 00:00:00,176.000000,10.80,10.80,10.8,99999,99999
8,junk,10/17/2016 00:00:00,0.000000,14.20,15.00,14.6,99999,99999
8,junk,10/17/2016 00:00:00,16.000000,14.20,14.80,14.5,99999,99999
8,junk,10/17/2016 00:00:00,48.000000,14.20,14.80,14.5,99999,99999
8,junk,10/17/2016 00:00:00,104.000000,11.60,11.80,11.7,99999,99999
8,junk,10/17/2016 00:00:00,120.000000,11.40,11.60,11.5,99999,99999
8,junk,10/17/2016 00:00:00,160.000000,11.20,11.20,11.2,99999,99999
8,junk,10/17/2016 00:00:00,208.000000,11.00,11.00,11.0,99999,99999
8,junk,10/17/2016 00:00:00,240.000000,11.00,11.00,11.0,99999,99999
9,junk,10/18/2016 00:00:00,0.000000,14.40,14.80,14.600000000000001,99999,99999
9,junk,10/18/2016 00:00:00,8.000000,14.40,14.80,14.600000000000001,99999,99999
9,junk,10/18/2016 00:00:00,40.000000,13.80,14.80,14.3,99999,99999
9,junk,10/18/2016 00:00:00,72.000000,12.00,14.80,13.4,99999,99999
9,junk,10/18/2016 00:00:00,104.000000,11.60,12.80,12.2,99999,99999
9,junk,10/18/2016 00:00:00,144.000000,11.60,11.60,11.6,99999,99999
9,junk,10/18/2016 00:00:00,160.000000,11.40,11.40,11.4,99999,99999
9,junk,10/18/2016 00:00:00,200.000000,11.40,11.40,11.4,99999,99999
10,junk,10/19/2016 00:00:00,0.000000,14.60,15.40,15.0,99999,99999
10,junk,10/19/2016 00:00:00,16.000000,14.60,15.60,15.1,99999,99999
10,junk,10/19/2016 00:00:00,48.000000,14.00,15.40,14.7,99999,99999
10,junk,10/19/2016 00:00:00,80.000000,12.40,15.20,13.8,99999,99999
10,junk,10/19/2016 00:00:00,128.000000,11.40,13.40,12.4,99999,99999
10,junk,10/19/2016 00:00:00,152.000000,11.40,12.00,11.7,99999,99999
10,junk,10/19/2016 00:00:00,184.000000,11.40,11.40,11.4,99999,99999
10,junk,10/19/2016 00:00:00,232.000000,11.40,11.40,11.4,99999,99999
11,junk,10/20/2016 00:00:00,0.000000,15.20,15.40,15.3,99999,99999
11,junk,10/20/2016 00:00:00,8.000000,15.20,16.00,15.6,99999,99999
11,junk,10/20/2016 00:00:00,32.000000,14.80,16.00,15.4,99999,99999
11,junk,10/20/2016 00:00:00,64.000000,14.40,15.80,15.100000000000001,99999,99999
11,junk,10/20/2016 00:00:00,88.000000,13.20,15.40,14.3,99999,99999
11,junk,10/20/2016 00:00:00,112.000000,12.40,14.20,13.3,99999,99999
11,junk,10/20/2016 00:00:00,160.000000,11.80,12.60,12.2,99999,99999
11,junk,10/20/2016 00:00:00,176.000000,11.80,11.80,11.8,99999,99999
12,junk,10/21/2016 00:00:00,0.000000,15.60,16.00,15.8,99999,99999
12,junk,10/21/2016 00:00:00,8.000000,15.60,16.20,15.899999999999999,99999,99999
12,junk,10/21/2016 00:00:00,32.000000,15.40,16.20,15.8,99999,99999
12,junk,10/21/2016 00:00:00,48.000000,15.00,16.20,15.6,99999,99999
12,junk,10/21/2016 00:00:00,72.000000,13.80,16.00,14.9,99999,99999
12,junk,10/21/2016 00:00:00,96.000000,13.60,14.40,14.0,99999,99999
