pdt_number,junk,Datetime,depth,mintemp,maxtemp,meantemp,junk2,junk3
1,junk,10/14/2018 00:00:00,0.000000,12.00,13.20,12.6,99999,99999
1,junk,10/14/2018 00:00:00,8.000000,12.00,13.20,12.6,99999,99999
1,junk,10/14/2018 00:00:00,24.000000,12.00,13.20,12.6,99999,99999
1,junk,10/14/2018 00:00:00,40.000000,12.00,13.20,12.6,99999,99999
1,junk,10/14/2018 00:00:00,56.000000,12.00,13.20,12.6,99999,99999
1,junk,10/14/2018 00:00:00,72.000000,12.20,13.20,12.7,99999,99999
1,junk,10/14/2018 00:00:00,96.000000,12.40,12.60,12.5,99999,99999
2,junk,10/15/2018 00:00:00,0.000000,12.20,12.40,12.3,99999,99999
2,junk,10/15/2018 00:00:00,8.000000,12.20,12.40,12.3,99999,99999
2,junk,10/15/2018 00:00:00,24.000000,12.20,12.40,12.3,99999,99999
2,junk,10/15/2018 00:00:00,40.000000,12.20,12.40,12.3,99999,99999
2,junk,10/15/2018 00:00:00,64.000000,12.20,12.40,12.3,99999,99999
2,junk,10/15/2018 00:00:00,80.000000,12.00,12.40,12.2,99999,99999
2,junk,10/15/2018 00:00:00,96.000000,11.80,12.40,12.100000000000001,99999,99999
2,junk,10/15/2018 00:00:00,120.000000,11.80,11.80,11.8,99999,99999
3,junk,10/16/2018 00:00:00,0.000000,12.20,13.00,12.6,99999,99999
3,junk,10/16/2018 00:00:00,24.000000,12.20,13.00,12.6,99999,99999
3,junk,10/16/2018 00:00:00,88.000000,11.60,13.00,12.3,99999,99999
3,junk,10/16/2018 00:00:00,192.000000,10.40,10.80,10.600000000000001,99999,99999
3,junk,10/16/2018 00:00:00,224.000000,10.40,10.60,10.5,99999,99999
3,junk,10/16/2018 00:00:00,296.000000,10.40,10.40,10.4,99999,99999
3,junk,10/16/2018 00:00:00,368.000000,10.20,10.20,10.2,99999,99999
3,junk,10/16/2018 00:00:00,432.000000,10.20,10.20,10.2,99999,99999
4,junk,11/07/2018 00:00:00,0.000000,15.00,15.60,15.3,99999,99999
4,junk,11/07/2018 00:00:00,8.000000,15.00,15.40,15.2,99999,99999
4,junk,11/07/2018 00:00:00,48.000000,14.60,15.40,15.0,99999,99999
4,junk,11/07/2018 00:00:00,56.000000,13.20,15.40,14.3,99999,99999
4,junk,11/07/2018 00:00:00,80.000000,12.60,15.40,14.0,99999,99999
4,junk,11/07/2018 00:00:00,96.000000,12.20,15.20,13.7,99999,99999
4,junk,11/07/2018 00:00:00,128.000000,12.20,12.40,12.3,99999,99999
4,junk,11/07/2018 00:00:00,152.000000,12.00,12.20,12.1,99999,99999
5,junk,11/13/2018 00:00:00,0.000000,14.80,15.00,14.9,99999,99999
5,junk,11/13/2018 00:00:00,72.000000,14.80,15.00,14.9,99999,99999
5,junk,11/13/2018 00:00:00,112.000000,12.40,13.40,12.9,99999,99999
5,junk,11/13/2018 00:00:00,208.000000,11.80,12.00,11.9,99999,99999
5,junk,11/13/2018 00:00:00,296.000000,11.40,11.40,11.4,99999,99999
5,junk,11/13/2018 00:00:00,376.000000,11.20,11.40,11.3,99999,99999
5,junk,11/13/2018 00:00:00,432.000000,11.00,11.20,11.1,99999,99999
5,junk,11/13/2018 00:00:00,496.000000,10.80,10.80,10.8,99999,99999
6,junk,11/17/2018 00:00:00,0.000000,15.20,15.80,15.5,99999,99999
6,junk,11/17/2018 00:00:00,88.000000,14.80,15.80,15.3,99999,99999
6,junk,11/17/2018 00:00:00,152.000000,12.80,13.40,13.100000000000001,99999,99999
6,junk,11/17/2018 00:00:00,256.000000,12.20,12.60,12.399999999999999,99999,99999
6,junk,11/17/2018 00:00:00,432.000000,11.40,11.60,11.5,99999,99999
6,junk,11/17/2018 00:00:00,456.000000,11.40,11.60,11.5,99999,99999
6,junk,11/17/2018 00:00:00,592.000000,10.80,11.00,10.9,99999,99999
6,junk,11/17/2018 00:00:00,680.000000,10.60,10.60,10.6,99999,99999
