pdt_number,junk,Datetime,depth,mintemp,maxtemp,meantemp,junk2,junk3
1,junk,11/01/2016 14:00:00,0.000000,13.20,13.40,13.3,99999,99999
1,junk,11/01/2016 14:00:00,8.000000,13.20,13.40,13.3,99999,99999
1,junk,11/01/2016 14:00:00,24.000000,13.20,13.40,13.3,99999,99999
1,junk,11/01/2016 14:00:00,40.000000,13.20,13.40,13.3,99999,99999
1,junk,11/01/2016 14:00:00,56.000000,13.20,13.60,13.399999999999999,99999,99999
1,junk,11/01/2016 14:00:00,80.000000,13.40,13.40,13.4,99999,99999
2,junk,11/02/2016 00:00:00,0.000000,13.00,13.40,13.2,99999,99999
2,junk,11/02/2016 00:00:00,8.000000,13.00,13.40,13.2,99999,99999
2,junk,11/02/2016 00:00:00,24.000000,13.20,13.40,13.3,99999,99999
2,junk,11/02/2016 00:00:00,40.000000,13.20,13.40,13.3,99999,99999
2,junk,11/02/2016 00:00:00,56.000000,13.20,13.40,13.3,99999,99999
2,junk,11/02/2016 00:00:00,72.000000,13.20,13.40,13.3,99999,99999
2,junk,11/02/2016 00:00:00,88.000000,13.00,13.20,13.1,99999,99999
3,junk,11/03/2016 00:00:00,0.000000,13.00,13.20,13.1,99999,99999
3,junk,11/03/2016 00:00:00,8.000000,13.00,13.20,13.1,99999,99999
3,junk,11/03/2016 00:00:00,24.000000,13.00,13.40,13.2,99999,99999
3,junk,11/03/2016 00:00:00,40.000000,13.20,13.40,13.3,99999,99999
3,junk,11/03/2016 00:00:00,56.000000,13.20,13.40,13.3,99999,99999
3,junk,11/03/2016 00:00:00,72.000000,13.20,13.40,13.3,99999,99999
3,junk,11/03/2016 00:00:00,88.000000,13.20,13.20,13.2,99999,99999
4,junk,11/04/2016 00:00:00,0.000000,12.80,13.20,13.0,99999,99999
4,junk,11/04/2016 00:00:00,8.000000,12.80,13.20,13.0,99999,99999
4,junk,11/04/2016 00:00:00,40.000000,12.20,13.40,12.8,99999,99999
4,junk,11/04/2016 00:00:00,64.000000,11.00,13.20,12.1,99999,99999
4,junk,11/04/2016 00:00:00,96.000000,10.80,13.00,11.9,99999,99999
4,junk,11/04/2016 00:00:00,128.000000,10.40,10.80,10.600000000000001,99999,99999
4,junk,11/04/2016 00:00:00,152.000000,10.40,10.80,10.600000000000001,99999,99999
4,junk,11/04/2016 00:00:00,184.000000,10.60,10.60,10.6,99999,99999
5,junk,11/05/2016 00:00:00,0.000000,12.80,13.80,13.3,99999,99999
5,junk,11/05/2016 00:00:00,16.000000,12.80,13.80,13.3,99999,99999
5,junk,11/05/2016 00:00:00,56.000000,12.80,13.80,13.3,99999,99999
5,junk,11/05/2016 00:00:00,96.000000,10.60,11.80,11.2,99999,99999
5,junk,11/05/2016 00:00:00,136.000000,10.60,11.20,10.899999999999999,99999,99999
5,junk,11/05/2016 00:00:00,168.000000,11.00,11.00,11.0,99999,99999
5,junk,11/05/2016 00:00:00,232.000000,10.80,11.00,10.9,99999,99999
5,junk,11/05/2016 00:00:00,264.000000,11.00,11.00,11.0,99999,99999
6,junk,11/06/2016 00:00:00,0.000000,13.40,14.00,13.7,99999,99999
6,junk,11/06/2016 00:00:00,16.000000,13.40,14.20,13.8,99999,99999
6,junk,11/06/2016 00:00:00,32.000000,13.40,14.00,13.7,99999,99999
6,junk,11/06/2016 00:00:00,48.000000,13.40,14.00,13.7,99999,99999
6,junk,11/06/2016 00:00:00,72.000000,11.80,14.00,12.9,99999,99999
6,junk,11/06/2016 00:00:00,96.000000,11.80,13.80,12.8,99999,99999
6,junk,11/06/2016 00:00:00,112.000000,11.60,12.00,11.8,99999,99999
6,junk,11/06/2016 00:00:00,144.000000,11.40,11.40,11.4,99999,99999
7,junk,11/07/2016 00:00:00,0.000000,13.40,14.40,13.9,99999,99999
7,junk,11/07/2016 00:00:00,32.000000,13.40,14.40,13.9,99999,99999
7,junk,11/07/2016 00:00:00,96.000000,11.40,14.40,12.9,99999,99999
7,junk,11/07/2016 00:00:00,160.000000,11.20,11.60,11.399999999999999,99999,99999
7,junk,11/07/2016 00:00:00,224.000000,11.00,11.20,11.1,99999,99999
7,junk,11/07/2016 00:00:00,288.000000,10.80,11.00,10.9,99999,99999
7,junk,11/07/2016 00:00:00,408.000000,10.80,10.80,10.8,99999,99999
7,junk,11/07/2016 00:00:00,440.000000,10.60,10.60,10.6,99999,99999
8,junk,11/08/2016 00:00:00,0.000000,14.40,14.80,14.600000000000001,99999,99999
8,junk,11/08/2016 00:00:00,24.000000,14.40,14.80,14.600000000000001,99999,99999
8,junk,11/08/2016 00:00:00,88.000000,12.40,14.60,13.5,99999,99999
8,junk,11/08/2016 00:00:00,152.000000,11.60,12.80,12.2,99999,99999
8,junk,11/08/2016 00:00:00,208.000000,11.20,11.80,11.5,99999,99999
8,junk,11/08/2016 00:00:00,296.000000,11.20,11.20,11.2,99999,99999
8,junk,11/08/2016 00:00:00,328.000000,11.20,11.20,11.2,99999,99999
8,junk,11/08/2016 00:00:00,416.000000,10.80,10.80,10.8,99999,99999
9,junk,11/09/2016 00:00:00,0.000000,14.40,15.60,15.0,99999,99999
9,junk,11/09/2016 00:00:00,8.000000,14.40,15.60,15.0,99999,99999
9,junk,11/09/2016 00:00:00,24.000000,14.40,15.60,15.0,99999,99999
9,junk,11/09/2016 00:00:00,48.000000,14.60,15.60,15.1,99999,99999
9,junk,11/09/2016 00:00:00,64.000000,13.40,15.60,14.5,99999,99999
9,junk,11/09/2016 00:00:00,80.000000,12.60,15.40,14.0,99999,99999
9,junk,11/09/2016 00:00:00,104.000000,12.00,13.40,12.7,99999,99999
9,junk,11/09/2016 00:00:00,128.000000,12.00,12.00,12.0,99999,99999
10,junk,11/10/2016 00:00:00,0.000000,14.80,15.60,15.2,99999,99999
10,junk,11/10/2016 00:00:00,8.000000,14.80,15.60,15.2,99999,99999
10,junk,11/10/2016 00:00:00,32.000000,14.80,15.60,15.2,99999,99999
10,junk,11/10/2016 00:00:00,48.000000,14.60,15.60,15.1,99999,99999
10,junk,11/10/2016 00:00:00,72.000000,13.20,15.60,14.399999999999999,99999,99999
10,junk,11/10/2016 00:00:00,96.000000,12.20,13.20,12.7,99999,99999
10,junk,11/10/2016 00:00:00,112.000000,12.00,12.80,12.4,99999,99999
10,junk,11/10/2016 00:00:00,144.000000,12.40,12.40,12.4,99999,99999
11,junk,11/11/2016 00:00:00,0.000000,15.00,16.00,15.5,99999,99999
11,junk,11/11/2016 00:00:00,16.000000,15.00,16.00,15.5,99999,99999
11,junk,11/11/2016 00:00:00,64.000000,13.60,16.00,14.8,99999,99999
11,junk,11/11/2016 00:00:00,104.000000,12.40,13.00,12.7,99999,99999
11,junk,11/11/2016 00:00:00,184.000000,11.80,12.00,11.9,99999,99999
11,junk,11/11/2016 00:00:00,200.000000,11.80,11.80,11.8,99999,99999
11,junk,11/11/2016 00:00:00,272.000000,11.60,11.60,11.6,99999,99999
11,junk,11/11/2016 00:00:00,304.000000,11.60,11.60,11.6,99999,99999
12,junk,11/12/2016 00:00:00,0.000000,16.00,16.40,16.2,99999,99999
12,junk,11/12/2016 00:00:00,24.000000,16.00,16.40,16.2,99999,99999
12,junk,11/12/2016 00:00:00,80.000000,12.80,16.40,14.6,99999,99999
12,junk,11/12/2016 00:00:00,136.000000,12.20,12.80,12.5,99999,99999
12,junk,11/12/2016 00:00:00,192.000000,12.00,12.00,12.0,99999,99999
12,junk,11/12/2016 00:00:00,264.000000,11.80,11.80,11.8,99999,99999
12,junk,11/12/2016 00:00:00,320.000000,11.60,11.60,11.6,99999,99999
12,junk,11/12/2016 00:00:00,384.000000,11.40,11.40,11.4,99999,99999
13,junk,11/13/2016 00:00:00,0.000000,15.40,16.20,15.8,99999,99999
13,junk,11/13/2016 00:00:00,8.000000,15.40,16.20,15.8,99999,99999
13,junk,11/13/2016 00:00:00,40.000000,13.60,16.20,14.899999999999999,99999,99999
13,junk,11/13/2016 00:00:00,72.000000,12.40,16.00,14.2,99999,99999
13,junk,11/13/2016 00:00:00,112.000000,12.20,12.60,12.399999999999999,99999,99999
