PDT Number,using backup body themistor,Date & Time of PDT,Depth (m),Minimum Temperature ,Maximum Temperature,Mean Temperature,Delta Temperature,repeats
1,no,08-Oct-2004 14:00,0,0.0,0.0,0.0,0.0,1
1,no,08-Oct-2004 14:00,164,0.0,0.0,0.0,0.0,1
1,no,08-Oct-2004 14:00,232,0.0,0.0,0.0,0.0,1
1,no,08-Oct-2004 14:00,460,0.0,0.0,0.0,0.0,1
1,no,08-Oct-2004 14:00,552,0.0,0.0,0.0,0.0,1
1,no,08-Oct-2004 14:00,732,0.0,0.0,0.0,0.0,1
1,no,08-Oct-2004 14:00,932,0.0,0.0,0.0,0.0,1
1,no,08-Oct-2004 14:00,976,0.0,0.0,0.0,0.0,1
2,no,08-Oct-2004 18:00,0,13.8,14.0,13.9,0.1,1
2,no,08-Oct-2004 18:00,4,13.6,14.0,13.8,0.2,1
2,no,08-Oct-2004 18:00,8,13.6,14.0,13.8,0.2,1
2,no,08-Oct-2004 18:00,16,13.6,14.0,13.8,0.2,1
2,no,08-Oct-2004 18:00,20,13.8,14.0,13.9,0.1,1
2,no,08-Oct-2004 18:00,28,13.6,13.8,13.7,0.1,1
2,no,08-Oct-2004 18:00,32,13.8,13.8,13.8,0.0,1
2,no,08-Oct-2004 18:00,36,13.6,13.8,13.7,0.1,1,,,,,,
3,no,09-Oct-2004 06:00,4,13.0,14.0,13.5,0.5,1,,,,,,
3,no,09-Oct-2004 06:00,8,13.0,14.0,13.5,0.5,1,,,,,,
3,no,09-Oct-2004 06:00,20,12.8,14.0,13.4,0.6,1,,,,,,
3,no,09-Oct-2004 06:00,32,12.8,13.6,13.2,0.4,1,,,,,,
3,no,09-Oct-2004 06:00,44,13.0,13.6,13.3,0.3,1,,,,,,
3,no,09-Oct-2004 06:00,48,12.8,13.6,13.2,0.4,1,,,,,,
3,no,09-Oct-2004 06:00,60,12.8,13.2,13.0,0.2,1,,,,,,
3,no,09-Oct-2004 06:00,68,13.0,13.0,13.0,0.0,1,,,,,,
4,no,09-Oct-2004 18:00,0,13.2,14.0,13.6,0.4,1,,,,,,
4,no,09-Oct-2004 18:00,4,13.0,14.0,13.5,0.5,1,,,,,,
4,no,09-Oct-2004 18:00,12,13.0,14.0,13.5,0.5,1,,,,,,
4,no,09-Oct-2004 18:00,16,13.2,14.0,13.6,0.4,1,,,,,,
4,no,09-Oct-2004 18:00,24,12.8,14.0,13.4,0.6,1,,,,,,
4,no,09-Oct-2004 18:00,32,13.2,14.0,13.6,0.4,1,,,,,,PDT Number
4,no,09-Oct-2004 18:00,36,12.8,14.0,13.4,0.6,1,,,,,,1
4,no,09-Oct-2004 18:00,44,13.8,14.0,13.9,0.1,1
5,no,10-Oct-2004 06:00,0,13.8,14.0,13.9,0.1,1
5,no,10-Oct-2004 06:00,8,13.6,14.0,13.8,0.2,1
5,no,10-Oct-2004 06:00,16,13.6,14.0,13.8,0.2,1
5,no,10-Oct-2004 06:00,36,13.6,14.0,13.8,0.2,1
5,no,10-Oct-2004 06:00,44,13.6,14.0,13.8,0.2,1
5,no,10-Oct-2004 06:00,48,13.6,14.0,13.8,0.2,1
