PDT Number,using backup body themistor,Date & Time of PDT,Depth (m),Minimum Temperature ,Maximum Temperature,Mean Temperature,Delta Temperature,repeats
5,no,10-Oct-2004 06:00,68,13.6,13.8,13.7,0.1,1
5,no,10-Oct-2004 06:00,72,13.8,13.8,13.8,0.0,1
6,no,10-Oct-2004 18:00,0,13.6,14.0,13.8,0.2,1
6,no,10-Oct-2004 18:00,4,13.4,14.0,13.7,0.3,1
6,no,10-Oct-2004 18:00,20,13.6,14.0,13.8,0.2,1
6,no,10-Oct-2004 18:00,36,13.6,14.0,13.8,0.2,1
6,no,10-Oct-2004 18:00,40,13.6,14.0,13.8,0.2,1
6,no,10-Oct-2004 18:00,52,13.6,13.8,13.7,0.1,1
6,no,10-Oct-2004 18:00,60,13.6,13.8,13.7,0.1,1
6,no,10-Oct-2004 18:00,76,13.6,13.6,13.6,0.0,1
7,no,11-Oct-2004 06:00,4,13.2,13.6,13.4,0.2,1
7,no,11-Oct-2004 06:00,16,13.2,13.8,13.5,0.3,1
7,no,11-Oct-2004 06:00,60,13.0,13.8,13.4,0.4,1
7,no,11-Oct-2004 06:00,76,12.2,13.6,12.9,0.7,1
7,no,11-Oct-2004 06:00,112,11.4,11.6,11.5,0.1,1
7,no,11-Oct-2004 06:00,136,11.4,11.4,11.4,0.0,1
7,no,11-Oct-2004 06:00,160,11.2,11.2,11.2,0.0,1
7,no,11-Oct-2004 06:00,196,11.0,11.0,11.0,0.0,1
8,no,11-Oct-2004 18:00,0,12.8,13.0,12.9,0.1,1
8,no,11-Oct-2004 18:00,20,13.0,13.0,13.0,0.0,1
8,no,11-Oct-2004 18:00,32,13.0,13.2,13.1,0.1,1
8,no,11-Oct-2004 18:00,44,12.8,13.2,13.0,0.2,1
8,no,11-Oct-2004 18:00,56,12.6,13.2,12.9,0.3,1
8,no,11-Oct-2004 18:00,72,12.6,13.2,12.9,0.3,1
8,no,11-Oct-2004 18:00,84,12.8,13.0,12.9,0.1,1
8,no,11-Oct-2004 18:00,96,11.8,12.8,12.3,0.5,1
9,no,12-Oct-2004 06:00,0,12.8,13.2,13.0,0.2,1
9,no,12-Oct-2004 06:00,4,12.8,13.2,13.0,0.2,1
9,no,12-Oct-2004 06:00,20,12.8,13.2,13.0,0.2,1
9,no,12-Oct-2004 06:00,36,12.8,13.0,12.9,0.1,1
9,no,12-Oct-2004 06:00,56,12.8,13.2,13.0,0.2,1
9,no,12-Oct-2004 06:00,60,12.6,13.0,12.8,0.2,1
9,no,12-Oct-2004 06:00,80,12.6,13.0,12.8,0.2,1
9,no,12-Oct-2004 06:00,88,12.6,13.0,12.8,0.2,1
10,no,12-Oct-2004 18:00,-4,13.2,13.2,13.2,0.0,1
10,no,12-Oct-2004 18:00,0,13.0,13.2,13.1,0.1,1
10,no,12-Oct-2004 18:00,60,12.8,13.2,13.0,0.2,1
10,no,12-Oct-2004 18:00,76,12.8,13.2,13.0,0.2,1
10,no,12-Oct-2004 18:00,120,11.6,11.6,11.6,0.0,1
10,no,12-Oct-2004 18:00,152,11.4,11.4,11.4,0.0,1
10,no,12-Oct-2004 18:00,160,11.4,11.4,11.4,0.0,1
10,no,12-Oct-2004 18:00,204,11.2,11.2,11.2,0.0,1
11,no,13-Oct-2004 06:00,0,12.8,13.2,13.0,0.2,1
11,no,13-Oct-2004 06:00,4,12.8,13.2,13.0,0.2,1
11,no,13-Oct-2004 06:00,52,12.8,13.2,13.0,0.2,1
11,no,13-Oct-2004 06:00,64,12.8,13.2,13.0,0.2,1
11,no,13-Oct-2004 06:00,80,12.6,13.2,12.9,0.3,1
11,no,13-Oct-2004 06:00,120,11.6,11.8,11.7,0.1,1
11,no,13-Oct-2004 06:00,144,11.4,11.6,11.5,0.1,1
11,no,13-Oct-2004 06:00,156,11.4,11.4,11.4,0.0,1
12,no,13-Oct-2004 18:00,0,13.0,13.2,13.1,0.1,1
12,no,13-Oct-2004 18:00,4,13.0,13.2,13.1,0.1,1
12,no,13-Oct-2004 18:00,36,13.0,13.2,13.1,0.1,1
12,no,13-Oct-2004 18:00,44,13.0,13.2,13.1,0.1,1
12,no,13-Oct-2004 18:00,72,12.6,13.2,12.9,0.3,1
12,no,13-Oct-2004 18:00,80,12.6,13.2,12.9,0.3,1
12,no,13-Oct-2004 18:00,92,12.2,13.2,12.7,0.5,1
12,no,13-Oct-2004 18:00,112,12.0,12.0,12.0,0.0,1
13,no,14-Oct-2004 06:00,0,13.0,13.6,13.3,0.3,1
13,no,14-Oct-2004 06:00,4,13.0,13.6,13.3,0.3,1
13,no,14-Oct-2004 06:00,28,13.2,13.6,13.4,0.2,1
13,no,14-Oct-2004 06:00,40,13.2,13.6,13.4,0.2,1
13,no,14-Oct-2004 06:00,44,13.2,13.6,13.4,0.2,1
13,no,14-Oct-2004 06:00,60,13.0,13.6,13.3,0.3,1
13,no,14-Oct-2004 06:00,80,13.0,13.0,13.0,0.0,1
13,no,14-Oct-2004 06:00,84,13.0,13.0,13.0,0.0,1
14,no,14-Oct-2004 18:00,0,13.0,13.4,13.2,0.2,1
14,no,14-Oct-2004 18:00,4,13.0,13.4,13.2,0.2,1
14,no,14-Oct-2004 18:00,36,13.0,13.4,13.2,0.2,1
14,no,14-Oct-2004 18:00,44,13.0,13.4,13.2,0.2,1
14,no,14-Oct-2004 18:00,60,13.0,13.4,13.2,0.2,1
14,no,14-Oct-2004 18:00,80,13.0,13.4,13.2,0.2,1
14,no,14-Oct-2004 18:00,88,12.8,13.4,13.1,0.3,1
14,no,14-Oct-2004 18:00,108,12.4,13.0,12.7,0.3,1
15,no,15-Oct-2004 06:00,0,12.8,13.8,13.3,0.5,1
15,no,15-Oct-2004 06:00,4,13.0,13.8,13.4,0.4,1
15,no,15-Oct-2004 06:00,8,13.8,13.8,13.8,0.0,1
15,no,15-Oct-2004 06:00,8,13.8,13.8,13.8,0.0,1
15,no,15-Oct-2004 06:00,8,13.8,13.8,13.8,0.0,1
15,no,15-Oct-2004 06:00,24,13.8,13.8,13.8,0.0,1
15,no,15-Oct-2004 06:00,24,13.8,13.8,13.8,0.0,1
15,no,15-Oct-2004 06:00,36,13.8,13.8,13.8,0.0,1
16,no,15-Oct-2004 18:00,0,13.2,14.4,13.8,0.6,1
16,no,15-Oct-2004 18:00,4,13.4,14.4,13.9,0.5,1
16,no,15-Oct-2004 18:00,32,13.4,14.4,13.9,0.5,1
16,no,15-Oct-2004 18:00,44,13.4,14.4,13.9,0.5,1
16,no,15-Oct-2004 18:00,64,13.2,14.4,13.8,0.6,1
16,no,15-Oct-2004 18:00,68,12.6,14.4,13.5,0.9,1
16,no,15-Oct-2004 18:00,84,13.2,14.4,13.8,0.6,1
16,no,15-Oct-2004 18:00,100,13.4,14.4,13.9,0.5,1
17,no,16-Oct-2004 06:00,0,14.2,14.6,14.4,0.2,1
17,no,16-Oct-2004 06:00,4,14.2,14.6,14.4,0.2,1
17,no,16-Oct-2004 06:00,72,14.2,14.6,14.4,0.2,1
17,no,16-Oct-2004 06:00,80,14.4,14.6,14.5,0.1,1
17,no,16-Oct-2004 06:00,132,12.2,12.2,12.2,0.0,1
17,no,16-Oct-2004 06:00,164,12.0,12.0,12.0,0.0,1
17,no,16-Oct-2004 06:00,192,12.0,12.0,12.0,0.0,1
17,no,16-Oct-2004 06:00,220,11.8,11.8,11.8,0.0,1
18,no,16-Oct-2004 18:00,0,14.4,14.6,14.5,0.1,1
18,no,16-Oct-2004 18:00,4,14.4,14.6,14.5,0.1,1
18,no,16-Oct-2004 18:00,36,14.4,14.6,14.5,0.1,1
18,no,16-Oct-2004 18:00,44,14.6,14.6,14.6,0.0,1
18,no,16-Oct-2004 18:00,60,14.2,14.6,14.4,0.2,1
18,no,16-Oct-2004 18:00,68,14.2,14.6,14.4,0.2,1
18,no,16-Oct-2004 18:00,96,14.2,14.6,14.4,0.2,1
18,no,16-Oct-2004 18:00,104,14.6,14.6,14.6,0.0,1
19,no,17-Oct-2004 06:00,0,14.2,14.6,14.4,0.2,1
19,no,17-Oct-2004 06:00,12,14.2,14.6,14.4,0.2,1
19,no,17-Oct-2004 06:00,28,14.2,14.6,14.4,0.2,1
19,no,17-Oct-2004 06:00,36,14.4,14.6,14.5,0.1,1
19,no,17-Oct-2004 06:00,48,14.4,14.6,14.5,0.1,1
19,no,17-Oct-2004 06:00,68,14.2,14.6,14.4,0.2,1
19,no,17-Oct-2004 06:00,80,14.2,14.6,14.4,0.2,1
19,no,17-Oct-2004 06:00,92,14.4,14.4,14.4,0.0,1
20,no,17-Oct-2004 18:00,0,14.4,14.4,14.4,0.0,1
20,no,17-Oct-2004 18:00,4,14.2,14.4,14.3,0.1,1
20,no,17-Oct-2004 18:00,24,14.2,14.6,14.4,0.2,1
20,no,17-Oct-2004 18:00,52,14.4,14.6,14.5,0.1,1
20,no,17-Oct-2004 18:00,68,14.4,14.6,14.5,0.1,1
20,no,17-Oct-2004 18:00,84,14.2,14.6,14.4,0.2,1
20,no,17-Oct-2004 18:00,88,14.2,14.6,14.4,0.2,1
20,no,17-Oct-2004 18:00,108,12.8,14.4,13.6,0.8,1
21,no,18-Oct-2004 06:00,0,14.4,14.6,14.5,0.1,1
21,no,18-Oct-2004 06:00,20,14.2,14.6,14.4,0.2,1
21,no,18-Oct-2004 06:00,32,14.2,14.4,14.3,0.1,1
21,no,18-Oct-2004 06:00,36,14.2,14.4,14.3,0.1,1
21,no,18-Oct-2004 06:00,52,14.2,14.4,14.3,0.1,1
21,no,18-Oct-2004 06:00,76,14.2,14.6,14.4,0.2,1
21,no,18-Oct-2004 06:00,80,14.4,14.6,14.5,0.1,1
21,no,18-Oct-2004 06:00,100,14.2,14.4,14.3,0.1,1
22,no,18-Oct-2004 18:00,0,14.2,14.4,14.3,0.1,1
22,no,18-Oct-2004 18:00,4,14.2,14.4,14.3,0.1,1
22,no,18-Oct-2004 18:00,48,14.4,14.4,14.4,0.0,1
22,no,18-Oct-2004 18:00,60,14.2,14.4,14.3,0.1,1
22,no,18-Oct-2004 18:00,72,14.2,14.4,14.3,0.1,1
22,no,18-Oct-2004 18:00,92,14.0,14.4,14.2,0.2,1
22,no,18-Oct-2004 18:00,112,14.0,14.0,14.0,0.0,1
22,no,18-Oct-2004 18:00,140,12.2,12.4,12.3,0.1,1
23,no,19-Oct-2004 06:00,0,14.0,14.4,14.2,0.2,1
23,no,19-Oct-2004 06:00,44,14.2,14.4,14.3,0.1,1
23,no,19-Oct-2004 06:00,92,14.0,14.4,14.2,0.2,1
23,no,19-Oct-2004 06:00,168,12.4,12.4,12.4,0.0,1
23,no,19-Oct-2004 06:00,220,12.0,12.0,12.0,0.0,1
23,no,19-Oct-2004 06:00,280,11.8,11.8,11.8,0.0,1
23,no,19-Oct-2004 06:00,344,11.6,11.6,11.6,0.0,1
23,no,19-Oct-2004 06:00,420,11.4,11.4,11.4,0.0,1
24,no,19-Oct-2004 18:00,0,14.2,14.4,14.3,0.1,1
24,no,19-Oct-2004 18:00,4,14.2,14.4,14.3,0.1,1
24,no,19-Oct-2004 18:00,76,13.8,14.4,14.1,0.3,1
24,no,19-Oct-2004 18:00,100,13.8,14.2,14.0,0.2,1
24,no,19-Oct-2004 18:00,152,12.2,12.2,12.2,0.0,1
24,no,19-Oct-2004 18:00,180,12.2,12.2,12.2,0.0,1
24,no,19-Oct-2004 18:00,248,11.8,11.8,11.8,0.0,1
24,no,19-Oct-2004 18:00,276,11.6,11.6,11.6,0.0,1
25,no,20-Oct-2004 06:00,0,13.8,14.6,14.2,0.4,1
25,no,20-Oct-2004 06:00,4,13.8,14.6,14.2,0.4,1
25,no,20-Oct-2004 06:00,36,14.0,14.4,14.2,0.2,1
25,no,20-Oct-2004 06:00,40,14.0,14.4,14.2,0.2,1
25,no,20-Oct-2004 06:00,56,14.0,14.2,14.1,0.1,1
25,no,20-Oct-2004 06:00,68,14.0,14.4,14.2,0.2,1
25,no,20-Oct-2004 06:00,92,14.0,14.2,14.1,0.1,1
25,no,20-Oct-2004 06:00,104,14.0,14.0,14.0,0.0,1
26,no,20-Oct-2004 18:00,0,14.0,14.6,14.3,0.3,1
26,no,20-Oct-2004 18:00,4,14.0,14.6,14.3,0.3,1
26,no,20-Oct-2004 18:00,28,14.0,14.6,14.3,0.3,1
26,no,20-Oct-2004 18:00,40,14.0,14.6,14.3,0.3,1
26,no,20-Oct-2004 18:00,52,14.0,14.6,14.3,0.3,1
26,no,20-Oct-2004 18:00,68,13.8,14.4,14.1,0.3,1
26,no,20-Oct-2004 18:00,80,13.6,14.2,13.9,0.3,1
26,no,20-Oct-2004 18:00,100,13.4,13.6,13.5,0.1,1
27,no,21-Oct-2004 06:00,0,14.0,15.0,14.5,0.5,1
27,no,21-Oct-2004 06:00,4,14.0,15.0,14.5,0.5,1
27,no,21-Oct-2004 06:00,28,14.0,14.8,14.4,0.4,1
27,no,21-Oct-2004 06:00,40,14.0,14.8,14.4,0.4,1
27,no,21-Oct-2004 06:00,60,14.0,14.0,14.0,0.0,1
27,no,21-Oct-2004 06:00,68,13.8,13.8,13.8,0.0,1
27,no,21-Oct-2004 06:00,84,13.4,13.4,13.4,0.0,1
27,no,21-Oct-2004 06:00,96,13.2,13.4,13.3,0.1,1
28,no,21-Oct-2004 18:00,0,14.4,14.8,14.6,0.2,1
28,no,21-Oct-2004 18:00,4,14.4,14.8,14.6,0.2,1
28,no,21-Oct-2004 18:00,28,14.6,14.8,14.7,0.1,1
28,no,21-Oct-2004 18:00,48,14.4,14.8,14.6,0.2,1
28,no,21-Oct-2004 18:00,60,14.2,14.8,14.5,0.3,1
28,no,21-Oct-2004 18:00,72,14.2,14.8,14.5,0.3,1
28,no,21-Oct-2004 18:00,88,14.2,14.8,14.5,0.3,1
28,no,21-Oct-2004 18:00,108,14.4,14.4,14.4,0.0,1
29,no,22-Oct-2004 06:00,0,14.0,15.2,14.6,0.6,1
29,no,22-Oct-2004 06:00,20,14.4,14.6,14.5,0.1,1
29,no,22-Oct-2004 06:00,28,14.0,14.6,14.3,0.3,1
29,no,22-Oct-2004 06:00,48,14.0,15.2,14.6,0.6,1
29,no,22-Oct-2004 06:00,68,13.4,15.2,14.3,0.9,1
29,no,22-Oct-2004 06:00,88,13.0,14.0,13.5,0.5,1
29,no,22-Oct-2004 06:00,96,13.0,13.6,13.3,0.3,1
29,no,22-Oct-2004 06:00,116,12.8,13.2,13.0,0.2,1
30,no,22-Oct-2004 18:00,0,15.0,15.2,15.1,0.1,1
30,no,22-Oct-2004 18:00,4,15.0,15.2,15.1,0.1,1
30,no,22-Oct-2004 18:00,24,15.0,15.2,15.1,0.1,1
30,no,22-Oct-2004 18:00,44,15.0,15.2,15.1,0.1,1
30,no,22-Oct-2004 18:00,56,15.0,15.2,15.1,0.1,1
30,no,22-Oct-2004 18:00,60,14.8,15.2,15.0,0.2,1
30,no,22-Oct-2004 18:00,72,14.2,15.2,14.7,0.5,1
30,no,22-Oct-2004 18:00,88,13.8,15.0,14.4,0.6,1
31,no,23-Oct-2004 06:00,0,14.6,15.0,14.8,0.2,1
31,no,23-Oct-2004 06:00,4,14.6,15.0,14.8,0.2,1
31,no,23-Oct-2004 06:00,32,14.6,15.0,14.8,0.2,1
31,no,23-Oct-2004 06:00,36,14.8,15.0,14.9,0.1,1
31,no,23-Oct-2004 06:00,60,14.8,15.0,14.9,0.1,1
31,no,23-Oct-2004 06:00,72,14.6,15.0,14.8,0.2,1
31,no,23-Oct-2004 06:00,76,14.8,15.0,14.9,0.1,1
31,no,23-Oct-2004 06:00,96,14.0,14.4,14.2,0.2,1
32,no,23-Oct-2004 18:00,0,15.2,15.4,15.3,0.1,1
32,no,23-Oct-2004 18:00,4,15.2,15.4,15.3,0.1,1
32,no,23-Oct-2004 18:00,28,15.0,15.4,15.2,0.2,1
32,no,23-Oct-2004 18:00,32,15.2,15.4,15.3,0.1,1
32,no,23-Oct-2004 18:00,48,14.8,15.4,15.1,0.3,1
32,no,23-Oct-2004 18:00,64,14.6,15.4,15.0,0.4,1
32,no,23-Oct-2004 18:00,72,13.8,15.4,14.6,0.8,1
32,no,23-Oct-2004 18:00,88,14.0,15.4,14.7,0.7,1
33,no,24-Oct-2004 06:00,0,15.0,15.6,15.3,0.3,1
33,no,24-Oct-2004 06:00,4,15.0,15.6,15.3,0.3,1
33,no,24-Oct-2004 06:00,24,15.0,15.6,15.3,0.3,1
33,no,24-Oct-2004 06:00,36,15.0,15.6,15.3,0.3,1
33,no,24-Oct-2004 06:00,44,15.0,15.6,15.3,0.3,1
33,no,24-Oct-2004 06:00,64,15.0,15.4,15.2,0.2,1
33,no,24-Oct-2004 06:00,68,15.0,15.6,15.3,0.3,1
33,no,24-Oct-2004 06:00,84,13.2,15.4,14.3,1.1,1
34,no,24-Oct-2004 18:00,0,15.4,15.6,15.5,0.1,1
34,no,24-Oct-2004 18:00,4,15.4,15.6,15.5,0.1,1
34,no,24-Oct-2004 18:00,60,15.2,15.6,15.4,0.2,1
34,no,24-Oct-2004 18:00,64,15.2,15.6,15.4,0.2,1
34,no,24-Oct-2004 18:00,88,14.6,15.4,15.0,0.4,1
34,no,24-Oct-2004 18:00,120,12.8,13.0,12.9,0.1,1
34,no,24-Oct-2004 18:00,152,12.8,12.8,12.8,0.0,1
34,no,24-Oct-2004 18:00,172,12.6,12.6,12.6,0.0,1
35,no,25-Oct-2004 06:00,0,15.4,15.8,15.6,0.2,1
35,no,25-Oct-2004 06:00,8,15.4,15.8,15.6,0.2,1
35,no,25-Oct-2004 06:00,28,15.4,15.6,15.5,0.1,1
35,no,25-Oct-2004 06:00,36,15.4,15.6,15.5,0.1,1
35,no,25-Oct-2004 06:00,48,15.4,15.6,15.5,0.1,1
35,no,25-Oct-2004 06:00,60,15.4,15.6,15.5,0.1,1
35,no,25-Oct-2004 06:00,64,15.4,15.6,15.5,0.1,1
35,no,25-Oct-2004 06:00,80,14.6,15.4,15.0,0.4,1
36,no,25-Oct-2004 18:00,0,15.6,15.8,15.7,0.1,1
36,no,25-Oct-2004 18:00,4,15.6,15.8,15.7,0.1,1
36,no,25-Oct-2004 18:00,24,15.6,15.8,15.7,0.1,1
36,no,25-Oct-2004 18:00,36,15.6,15.8,15.7,0.1,1
36,no,25-Oct-2004 18:00,48,15.6,15.8,15.7,0.1,1
36,no,25-Oct-2004 18:00,60,14.4,15.8,15.1,0.7,1
36,no,25-Oct-2004 18:00,68,15.4,15.8,15.6,0.2,1
36,no,25-Oct-2004 18:00,84,13.0,15.8,14.4,1.4,1
37,no,26-Oct-2004 06:00,0,15.8,15.8,15.8,0.0,1
37,no,26-Oct-2004 06:00,4,15.8,15.8,15.8,0.0,1
37,no,26-Oct-2004 06:00,20,15.8,15.8,15.8,0.0,1
37,no,26-Oct-2004 06:00,32,15.8,15.8,15.8,0.0,1
37,no,26-Oct-2004 06:00,36,15.8,15.8,15.8,0.0,1
37,no,26-Oct-2004 06:00,48,15.8,15.8,15.8,0.0,1
37,no,26-Oct-2004 06:00,56,15.4,15.8,15.6,0.2,1
37,no,26-Oct-2004 06:00,68,15.6,15.8,15.7,0.1,1
38,no,26-Oct-2004 18:00,0,15.2,15.8,15.5,0.3,1
38,no,26-Oct-2004 18:00,4,15.2,15.8,15.5,0.3,1
38,no,26-Oct-2004 18:00,20,15.4,15.8,15.6,0.2,1
38,no,26-Oct-2004 18:00,32,15.0,15.6,15.3,0.3,1
38,no,26-Oct-2004 18:00,40,15.0,15.8,15.4,0.4,1
38,no,26-Oct-2004 18:00,56,14.8,15.8,15.3,0.5,1
38,no,26-Oct-2004 18:00,64,15.0,15.8,15.4,0.4,1
38,no,26-Oct-2004 18:00,72,13.4,13.8,13.6,0.2,1
39,no,27-Oct-2004 06:00,0,14.8,15.6,15.2,0.4,1
39,no,27-Oct-2004 06:00,4,15.0,15.4,15.2,0.2,1
39,no,27-Oct-2004 06:00,20,15.0,15.4,15.2,0.2,1
39,no,27-Oct-2004 06:00,40,15.0,15.4,15.2,0.2,1
39,no,27-Oct-2004 06:00,44,14.8,15.2,15.0,0.2,1
39,no,27-Oct-2004 06:00,56,15.0,15.2,15.1,0.1,1
39,no,27-Oct-2004 06:00,56,15.0,15.2,15.1,0.1,1
39,no,27-Oct-2004 06:00,80,12.8,13.0,12.9,0.1,1
40,no,27-Oct-2004 18:00,0,14.6,15.2,14.9,0.3,1
40,no,27-Oct-2004 18:00,4,14.6,15.2,14.9,0.3,1
40,no,27-Oct-2004 18:00,56,14.8,15.2,15.0,0.2,1
40,no,27-Oct-2004 18:00,108,13.4,13.6,13.5,0.1,1
40,no,27-Oct-2004 18:00,136,13.2,13.2,13.2,0.0,1
40,no,27-Oct-2004 18:00,180,12.8,12.8,12.8,0.0,1
40,no,27-Oct-2004 18:00,208,12.6,12.6,12.6,0.0,1
40,no,27-Oct-2004 18:00,260,12.4,12.4,12.4,0.0,1
41,no,28-Oct-2004 06:00,0,14.4,14.8,14.6,0.2,1
41,no,28-Oct-2004 06:00,4,14.4,14.8,14.6,0.2,1
41,no,28-Oct-2004 06:00,80,14.0,14.4,14.2,0.2,1
41,no,28-Oct-2004 06:00,132,13.0,13.2,13.1,0.1,1
41,no,28-Oct-2004 06:00,184,13.0,13.0,13.0,0.0,1
41,no,28-Oct-2004 06:00,240,12.4,12.4,12.4,0.0,1
41,no,28-Oct-2004 06:00,288,12.2,12.2,12.2,0.0,1
41,no,28-Oct-2004 06:00,364,11.8,12.0,11.9,0.1,1
42,no,28-Oct-2004 18:00,0,14.2,14.8,14.5,0.3,1
42,no,28-Oct-2004 18:00,4,14.2,14.6,14.4,0.2,1
42,no,28-Oct-2004 18:00,52,14.4,14.8,14.6,0.2,1
42,no,28-Oct-2004 18:00,68,14.0,14.8,14.4,0.4,1
42,no,28-Oct-2004 18:00,84,13.4,14.8,14.1,0.7,1
42,no,28-Oct-2004 18:00,112,14.2,14.6,14.4,0.2,1
42,no,28-Oct-2004 18:00,136,13.6,14.0,13.8,0.2,1
42,no,28-Oct-2004 18:00,160,13.8,13.8,13.8,0.0,1
43,no,29-Oct-2004 06:00,0,14.8,15.8,15.3,0.5,1
43,no,29-Oct-2004 06:00,4,14.8,15.6,15.2,0.4,1
43,no,29-Oct-2004 06:00,28,14.8,14.8,14.8,0.0,1
43,no,29-Oct-2004 06:00,60,14.4,14.8,14.6,0.2,1
43,no,29-Oct-2004 06:00,72,14.4,14.8,14.6,0.2,1
43,no,29-Oct-2004 06:00,80,14.4,14.6,14.5,0.1,1
43,no,29-Oct-2004 06:00,112,14.4,14.6,14.5,0.1,1
43,no,29-Oct-2004 06:00,120,14.2,14.2,14.2,0.0,1
44,no,29-Oct-2004 18:00,0,15.8,16.2,16.0,0.2,1
44,no,29-Oct-2004 18:00,4,15.8,16.2,16.0,0.2,1
44,no,29-Oct-2004 18:00,20,16.0,16.2,16.1,0.1,1
44,no,29-Oct-2004 18:00,36,15.8,16.2,16.0,0.2,1
44,no,29-Oct-2004 18:00,48,15.8,16.2,16.0,0.2,1
44,no,29-Oct-2004 18:00,60,15.6,16.2,15.9,0.3,1
44,no,29-Oct-2004 18:00,80,15.4,16.0,15.7,0.3,1
44,no,29-Oct-2004 18:00,92,15.8,15.8,15.8,0.0,1
45,no,30-Oct-2004 06:00,0,16.0,16.2,16.1,0.1,1
45,no,30-Oct-2004 06:00,4,16.2,16.2,16.2,0.0,1
45,no,30-Oct-2004 06:00,20,16.2,16.2,16.2,0.0,1
45,no,30-Oct-2004 06:00,36,16.2,16.2,16.2,0.0,1
45,no,30-Oct-2004 06:00,44,16.2,16.2,16.2,0.0,1
45,no,30-Oct-2004 06:00,56,15.8,16.2,16.0,0.2,1
45,no,30-Oct-2004 06:00,64,16.2,16.2,16.2,0.0,1
45,no,30-Oct-2004 06:00,72,16.2,16.2,16.2,0.0,1
46,no,30-Oct-2004 18:00,0,15.8,16.2,16.0,0.2,1
46,no,30-Oct-2004 18:00,56,15.8,16.2,16.0,0.2,1
46,no,30-Oct-2004 18:00,60,15.8,16.2,16.0,0.2,1
46,no,30-Oct-2004 18:00,100,14.0,14.2,14.1,0.1,1
46,no,30-Oct-2004 18:00,140,13.8,13.8,13.8,0.0,1
46,no,30-Oct-2004 18:00,188,13.4,13.4,13.4,0.0,1
46,no,30-Oct-2004 18:00,224,13.2,13.4,13.3,0.1,1
46,no,30-Oct-2004 18:00,264,13.0,13.0,13.0,0.0,1
47,no,31-Oct-2004 06:00,0,15.8,16.2,16.0,0.2,1
47,no,31-Oct-2004 06:00,8,15.8,16.2,16.0,0.2,1
47,no,31-Oct-2004 06:00,48,15.8,16.2,16.0,0.2,1
