pdt_number,junk,Datetime,depth,mintemp,maxtemp,meantemp,junk2,junk3
1,junk,09/26/2017 00:00:00,0.000000,13.60,14.40,14.0,99999,99999
1,junk,09/26/2017 00:00:00,8.000000,13.60,14.40,14.0,99999,99999
1,junk,09/26/2017 00:00:00,24.000000,13.80,14.40,14.100000000000001,99999,99999
1,junk,09/26/2017 00:00:00,40.000000,13.80,13.80,13.8,99999,99999
2,junk,09/27/2017 00:00:00,0.000000,13.20,13.80,13.5,99999,99999
2,junk,09/27/2017 00:00:00,8.000000,13.20,13.80,13.5,99999,99999
2,junk,09/27/2017 00:00:00,32.000000,13.60,13.60,13.6,99999,99999
3,junk,10/04/2017 00:00:00,0.000000,14.20,15.80,15.0,99999,99999
3,junk,10/04/2017 00:00:00,8.000000,14.20,15.80,15.0,99999,99999
3,junk,10/04/2017 00:00:00,24.000000,14.20,15.80,15.0,99999,99999
3,junk,10/04/2017 00:00:00,40.000000,14.20,15.80,15.0,99999,99999
3,junk,10/04/2017 00:00:00,56.000000,11.60,15.80,13.7,99999,99999
3,junk,10/04/2017 00:00:00,80.000000,11.40,15.80,13.600000000000001,99999,99999
4,junk,10/06/2017 00:00:00,0.000000,15.80,16.20,16.0,99999,99999
4,junk,10/06/2017 00:00:00,8.000000,15.80,16.40,16.1,99999,99999
4,junk,10/06/2017 00:00:00,24.000000,15.40,16.40,15.899999999999999,99999,99999
4,junk,10/06/2017 00:00:00,40.000000,15.40,16.40,15.899999999999999,99999,99999
4,junk,10/06/2017 00:00:00,64.000000,13.60,16.00,14.8,99999,99999
4,junk,10/06/2017 00:00:00,80.000000,13.00,14.60,13.8,99999,99999
4,junk,10/06/2017 00:00:00,104.000000,13.20,13.40,13.3,99999,99999
4,junk,10/06/2017 00:00:00,120.000000,13.20,13.20,13.2,99999,99999
5,junk,10/07/2017 00:00:00,0.000000,16.40,17.80,17.1,99999,99999
5,junk,10/07/2017 00:00:00,8.000000,16.20,17.80,17.0,99999,99999
5,junk,10/07/2017 00:00:00,24.000000,16.20,17.80,17.0,99999,99999
5,junk,10/07/2017 00:00:00,40.000000,16.20,17.80,17.0,99999,99999
5,junk,10/07/2017 00:00:00,56.000000,15.80,17.80,16.8,99999,99999
5,junk,10/07/2017 00:00:00,72.000000,14.40,17.80,16.1,99999,99999
5,junk,10/07/2017 00:00:00,88.000000,13.60,14.00,13.8,99999,99999
5,junk,10/07/2017 00:00:00,104.000000,13.00,13.20,13.1,99999,99999
6,junk,10/09/2017 00:00:00,0.000000,16.80,18.00,17.4,99999,99999
6,junk,10/09/2017 00:00:00,48.000000,15.40,18.00,16.7,99999,99999
6,junk,10/09/2017 00:00:00,160.000000,12.20,12.60,12.399999999999999,99999,99999
