pdt_number,junk,Datetime,depth,mintemp,maxtemp,meantemp,junk2,junk3
1,junk,09/26/2017 00:00:00,0.000000,14.20,14.40,14.3,99999,99999
1,junk,09/26/2017 00:00:00,8.000000,14.20,14.40,14.3,99999,99999
1,junk,09/26/2017 00:00:00,24.000000,14.20,14.40,14.3,99999,99999
1,junk,09/26/2017 00:00:00,40.000000,13.80,14.40,14.100000000000001,99999,99999
1,junk,09/26/2017 00:00:00,56.000000,13.60,14.40,14.0,99999,99999
1,junk,09/26/2017 00:00:00,72.000000,13.40,14.20,13.8,99999,99999
2,junk,09/27/2017 00:00:00,0.000000,14.40,14.40,14.4,99999,99999
2,junk,09/27/2017 00:00:00,8.000000,14.40,14.60,14.5,99999,99999
2,junk,09/27/2017 00:00:00,24.000000,14.40,14.60,14.5,99999,99999
2,junk,09/27/2017 00:00:00,40.000000,14.20,14.60,14.399999999999999,99999,99999
2,junk,09/27/2017 00:00:00,56.000000,13.60,14.40,14.0,99999,99999
2,junk,09/27/2017 00:00:00,80.000000,12.40,12.40,12.4,99999,99999
3,junk,09/29/2017 00:00:00,0.000000,14.20,14.40,14.3,99999,99999
3,junk,09/29/2017 00:00:00,8.000000,14.00,14.40,14.2,99999,99999
3,junk,09/29/2017 00:00:00,24.000000,13.80,14.60,14.2,99999,99999
3,junk,09/29/2017 00:00:00,40.000000,13.80,14.60,14.2,99999,99999
3,junk,09/29/2017 00:00:00,56.000000,13.80,14.60,14.2,99999,99999
3,junk,09/29/2017 00:00:00,72.000000,13.20,14.00,13.6,99999,99999
4,junk,09/30/2017 00:00:00,0.000000,13.40,14.20,13.8,99999,99999
4,junk,09/30/2017 00:00:00,8.000000,13.40,14.40,13.9,99999,99999
4,junk,09/30/2017 00:00:00,24.000000,13.20,14.40,13.8,99999,99999
4,junk,09/30/2017 00:00:00,40.000000,13.20,14.60,13.899999999999999,99999,99999
4,junk,09/30/2017 00:00:00,56.000000,12.40,13.60,13.0,99999,99999
4,junk,09/30/2017 00:00:00,80.000000,13.40,13.40,13.4,99999,99999
5,junk,10/02/2017 00:00:00,0.000000,14.20,14.40,14.3,99999,99999
5,junk,10/02/2017 00:00:00,8.000000,14.00,14.40,14.2,99999,99999
5,junk,10/02/2017 00:00:00,24.000000,14.00,14.40,14.2,99999,99999
5,junk,10/02/2017 00:00:00,40.000000,14.00,14.40,14.2,99999,99999
5,junk,10/02/2017 00:00:00,56.000000,14.00,14.40,14.2,99999,99999
5,junk,10/02/2017 00:00:00,72.000000,11.60,14.40,13.0,99999,99999
5,junk,10/02/2017 00:00:00,88.000000,11.00,11.00,11.0,99999,99999
6,junk,10/03/2017 00:00:00,0.000000,13.80,14.40,14.100000000000001,99999,99999
6,junk,10/03/2017 00:00:00,8.000000,13.80,14.40,14.100000000000001,99999,99999
6,junk,10/03/2017 00:00:00,24.000000,13.60,14.40,14.0,99999,99999
6,junk,10/03/2017 00:00:00,40.000000,12.80,14.20,13.5,99999,99999
6,junk,10/03/2017 00:00:00,56.000000,12.40,14.40,13.4,99999,99999
6,junk,10/03/2017 00:00:00,72.000000,12.20,14.00,13.1,99999,99999
6,junk,10/03/2017 00:00:00,88.000000,11.60,11.80,11.7,99999,99999
7,junk,10/06/2017 00:00:00,0.000000,14.00,15.00,14.5,99999,99999
7,junk,10/06/2017 00:00:00,8.000000,14.00,15.00,14.5,99999,99999
7,junk,10/06/2017 00:00:00,24.000000,14.00,15.00,14.5,99999,99999
7,junk,10/06/2017 00:00:00,40.000000,11.00,15.00,13.0,99999,99999
7,junk,10/06/2017 00:00:00,64.000000,10.80,10.80,10.8,99999,99999
8,junk,10/07/2017 00:00:00,0.000000,14.60,15.00,14.8,99999,99999
8,junk,10/07/2017 00:00:00,8.000000,14.60,15.00,14.8,99999,99999
8,junk,10/07/2017 00:00:00,24.000000,14.40,15.00,14.7,99999,99999
8,junk,10/07/2017 00:00:00,40.000000,11.20,15.00,13.1,99999,99999
8,junk,10/07/2017 00:00:00,56.000000,11.00,13.20,12.1,99999,99999
