pdt_number,junk,Datetime,depth,mintemp,maxtemp,meantemp,junk2,junk3
1,junk,10/12/2020 08:00:00,0.000000,13.40,13.80,13.600000000000001,99999,99999
1,junk,10/12/2020 08:00:00,8.000000,13.40,13.80,13.600000000000001,99999,99999
1,junk,10/12/2020 08:00:00,24.000000,12.60,13.80,13.2,99999,99999
1,junk,10/12/2020 08:00:00,48.000000,11.40,13.60,12.5,99999,99999
2,junk,10/13/2020 00:00:00,0.000000,13.40,14.20,13.8,99999,99999
2,junk,10/13/2020 00:00:00,8.000000,13.40,14.20,13.8,99999,99999
2,junk,10/13/2020 00:00:00,24.000000,13.00,14.20,13.6,99999,99999
2,junk,10/13/2020 00:00:00,40.000000,13.80,14.20,14.0,99999,99999
2,junk,10/13/2020 00:00:00,56.000000,12.80,14.00,13.4,99999,99999
3,junk,10/14/2020 00:00:00,0.000000,14.20,14.60,14.399999999999999,99999,99999
3,junk,10/14/2020 00:00:00,8.000000,14.20,14.60,14.399999999999999,99999,99999
3,junk,10/14/2020 00:00:00,24.000000,14.20,14.60,14.399999999999999,99999,99999
3,junk,10/14/2020 00:00:00,40.000000,14.00,14.60,14.3,99999,99999
3,junk,10/14/2020 00:00:00,64.000000,11.80,14.60,13.2,99999,99999
4,junk,10/15/2020 00:00:00,0.000000,14.20,14.60,14.399999999999999,99999,99999
4,junk,10/15/2020 00:00:00,8.000000,14.20,14.60,14.399999999999999,99999,99999
4,junk,10/15/2020 00:00:00,24.000000,14.00,14.60,14.3,99999,99999
4,junk,10/15/2020 00:00:00,40.000000,12.40,14.60,13.5,99999,99999
4,junk,10/15/2020 00:00:00,56.000000,11.20,14.60,12.899999999999999,99999,99999
4,junk,10/15/2020 00:00:00,72.000000,14.00,14.20,14.1,99999,99999
5,junk,10/16/2020 00:00:00,0.000000,14.20,15.20,14.7,99999,99999
5,junk,10/16/2020 00:00:00,8.000000,14.20,15.20,14.7,99999,99999
5,junk,10/16/2020 00:00:00,24.000000,14.20,15.20,14.7,99999,99999
5,junk,10/16/2020 00:00:00,48.000000,13.40,15.00,14.2,99999,99999
5,junk,10/16/2020 00:00:00,64.000000,12.80,15.00,13.9,99999,99999
5,junk,10/16/2020 00:00:00,80.000000,12.00,15.00,13.5,99999,99999
5,junk,10/16/2020 00:00:00,104.000000,12.80,12.80,12.8,99999,99999
5,junk,10/16/2020 00:00:00,128.000000,12.80,12.80,12.8,99999,99999
6,junk,10/17/2020 00:00:00,0.000000,13.80,15.20,14.5,99999,99999
6,junk,10/17/2020 00:00:00,8.000000,13.80,15.20,14.5,99999,99999
6,junk,10/17/2020 00:00:00,32.000000,13.20,15.20,14.2,99999,99999
6,junk,10/17/2020 00:00:00,56.000000,13.00,15.20,14.1,99999,99999
6,junk,10/17/2020 00:00:00,80.000000,12.80,15.00,13.9,99999,99999
6,junk,10/17/2020 00:00:00,112.000000,13.20,13.60,13.399999999999999,99999,99999
6,junk,10/17/2020 00:00:00,128.000000,13.00,13.20,13.1,99999,99999
6,junk,10/17/2020 00:00:00,160.000000,12.60,12.60,12.6,99999,99999
7,junk,10/18/2020 00:00:00,0.000000,15.00,15.60,15.3,99999,99999
7,junk,10/18/2020 00:00:00,8.000000,15.00,15.60,15.3,99999,99999
7,junk,10/18/2020 00:00:00,40.000000,13.40,15.60,14.5,99999,99999
7,junk,10/18/2020 00:00:00,72.000000,12.40,15.40,13.9,99999,99999
7,junk,10/18/2020 00:00:00,104.000000,12.20,14.80,13.5,99999,99999
7,junk,10/18/2020 00:00:00,128.000000,12.00,14.00,13.0,99999,99999
7,junk,10/18/2020 00:00:00,160.000000,12.20,12.60,12.399999999999999,99999,99999
7,junk,10/18/2020 00:00:00,200.000000,12.20,12.20,12.2,99999,99999
8,junk,10/19/2020 00:00:00,0.000000,15.40,16.20,15.8,99999,99999
8,junk,10/19/2020 00:00:00,8.000000,15.40,16.20,15.8,99999,99999
8,junk,10/19/2020 00:00:00,32.000000,14.60,16.20,15.399999999999999,99999,99999
8,junk,10/19/2020 00:00:00,48.000000,13.80,15.80,14.8,99999,99999
8,junk,10/19/2020 00:00:00,72.000000,12.40,15.80,14.100000000000001,99999,99999
8,junk,10/19/2020 00:00:00,96.000000,12.20,13.80,13.0,99999,99999
8,junk,10/19/2020 00:00:00,112.000000,12.20,12.40,12.3,99999,99999
8,junk,10/19/2020 00:00:00,144.000000,12.20,12.20,12.2,99999,99999
9,junk,10/20/2020 00:00:00,0.000000,16.00,16.80,16.4,99999,99999
9,junk,10/20/2020 00:00:00,8.000000,16.00,16.80,16.4,99999,99999
9,junk,10/20/2020 00:00:00,40.000000,14.00,16.80,15.4,99999,99999
9,junk,10/20/2020 00:00:00,64.000000,12.60,15.80,14.2,99999,99999
9,junk,10/20/2020 00:00:00,96.000000,12.40,12.80,12.600000000000001,99999,99999
9,junk,10/20/2020 00:00:00,136.000000,12.20,12.20,12.2,99999,99999
9,junk,10/20/2020 00:00:00,144.000000,12.00,12.20,12.1,99999,99999
9,junk,10/20/2020 00:00:00,184.000000,11.80,12.20,12.0,99999,99999
10,junk,10/21/2020 00:00:00,0.000000,16.20,17.00,16.6,99999,99999
10,junk,10/21/2020 00:00:00,8.000000,16.20,17.00,16.6,99999,99999
10,junk,10/21/2020 00:00:00,40.000000,13.60,17.00,15.3,99999,99999
10,junk,10/21/2020 00:00:00,72.000000,12.60,13.00,12.8,99999,99999
10,junk,10/21/2020 00:00:00,104.000000,12.40,12.40,12.4,99999,99999
10,junk,10/21/2020 00:00:00,144.000000,12.20,12.40,12.3,99999,99999
10,junk,10/21/2020 00:00:00,176.000000,12.00,12.20,12.1,99999,99999
10,junk,10/21/2020 00:00:00,208.000000,12.00,12.00,12.0,99999,99999
11,junk,10/22/2020 00:00:00,0.000000,17.00,17.60,17.3,99999,99999
11,junk,10/22/2020 00:00:00,16.000000,16.80,17.40,17.1,99999,99999
11,junk,10/22/2020 00:00:00,56.000000,13.20,16.80,15.0,99999,99999
11,junk,10/22/2020 00:00:00,112.000000,12.40,12.40,12.4,99999,99999
11,junk,10/22/2020 00:00:00,152.000000,12.20,12.20,12.2,99999,99999
11,junk,10/22/2020 00:00:00,184.000000,12.00,12.20,12.1,99999,99999
11,junk,10/22/2020 00:00:00,232.000000,11.80,11.80,11.8,99999,99999
11,junk,10/22/2020 00:00:00,280.000000,11.60,11.60,11.6,99999,99999
12,junk,10/23/2020 00:00:00,0.000000,17.00,17.80,17.4,99999,99999
12,junk,10/23/2020 00:00:00,8.000000,17.00,17.80,17.4,99999,99999
12,junk,10/23/2020 00:00:00,24.000000,17.00,17.80,17.4,99999,99999
12,junk,10/23/2020 00:00:00,40.000000,15.40,18.00,16.7,99999,99999
12,junk,10/23/2020 00:00:00,56.000000,13.40,18.00,15.7,99999,99999
12,junk,10/23/2020 00:00:00,72.000000,12.60,14.80,13.7,99999,99999
12,junk,10/23/2020 00:00:00,88.000000,12.40,13.00,12.7,99999,99999
