pdt_number,junk,Datetime,depth,mintemp,maxtemp,meantemp,junk2,junk3
1,junk,09/24/2017 17:00:00,0.000000,14.40,14.40,14.4,99999,99999
1,junk,09/24/2017 17:00:00,8.000000,14.40,14.40,14.4,99999,99999
1,junk,09/24/2017 17:00:00,24.000000,14.40,14.40,14.4,99999,99999
1,junk,09/24/2017 17:00:00,40.000000,14.40,14.40,14.4,99999,99999
1,junk,09/24/2017 17:00:00,56.000000,14.00,14.40,14.2,99999,99999
1,junk,09/24/2017 17:00:00,80.000000,13.40,13.40,13.4,99999,99999
2,junk,09/25/2017 00:00:00,0.000000,14.00,14.60,14.3,99999,99999
2,junk,09/25/2017 00:00:00,8.000000,14.20,14.60,14.399999999999999,99999,99999
2,junk,09/25/2017 00:00:00,24.000000,14.20,14.60,14.399999999999999,99999,99999
2,junk,09/25/2017 00:00:00,40.000000,13.80,14.80,14.3,99999,99999
2,junk,09/25/2017 00:00:00,56.000000,13.60,14.40,14.0,99999,99999
2,junk,09/25/2017 00:00:00,80.000000,13.20,13.20,13.2,99999,99999
3,junk,09/26/2017 00:00:00,0.000000,13.60,14.40,14.0,99999,99999
3,junk,09/26/2017 00:00:00,8.000000,13.60,14.40,14.0,99999,99999
3,junk,09/26/2017 00:00:00,32.000000,12.60,14.40,13.5,99999,99999
3,junk,09/26/2017 00:00:00,56.000000,12.20,14.00,13.1,99999,99999
3,junk,09/26/2017 00:00:00,80.000000,11.40,11.80,11.600000000000001,99999,99999
3,junk,09/26/2017 00:00:00,104.000000,10.80,11.20,11.0,99999,99999
3,junk,09/26/2017 00:00:00,144.000000,10.20,10.20,10.2,99999,99999
3,junk,09/26/2017 00:00:00,160.000000,10.20,10.20,10.2,99999,99999
4,junk,09/27/2017 00:00:00,0.000000,13.40,14.00,13.7,99999,99999
4,junk,09/27/2017 00:00:00,32.000000,13.40,14.00,13.7,99999,99999
4,junk,09/27/2017 00:00:00,104.000000,11.00,12.00,11.5,99999,99999
4,junk,09/27/2017 00:00:00,176.000000,10.40,10.80,10.600000000000001,99999,99999
4,junk,09/27/2017 00:00:00,264.000000,10.20,10.20,10.2,99999,99999
4,junk,09/27/2017 00:00:00,328.000000,10.00,10.20,10.1,99999,99999
4,junk,09/27/2017 00:00:00,416.000000,10.00,10.00,10.0,99999,99999
4,junk,09/27/2017 00:00:00,504.000000,9.60,9.60,9.6,99999,99999
5,junk,09/28/2017 00:00:00,0.000000,13.40,14.00,13.7,99999,99999
5,junk,09/28/2017 00:00:00,16.000000,13.40,14.00,13.7,99999,99999
5,junk,09/28/2017 00:00:00,56.000000,12.20,14.00,13.1,99999,99999
5,junk,09/28/2017 00:00:00,96.000000,10.80,13.40,12.100000000000001,99999,99999
5,junk,09/28/2017 00:00:00,136.000000,10.20,11.00,10.6,99999,99999
5,junk,09/28/2017 00:00:00,200.000000,10.20,10.40,10.3,99999,99999
5,junk,09/28/2017 00:00:00,208.000000,10.40,10.40,10.4,99999,99999
5,junk,09/28/2017 00:00:00,264.000000,10.40,10.40,10.4,99999,99999
6,junk,09/29/2017 00:00:00,0.000000,13.80,14.20,14.0,99999,99999
6,junk,09/29/2017 00:00:00,32.000000,13.80,14.20,14.0,99999,99999
6,junk,09/29/2017 00:00:00,96.000000,12.00,13.40,12.7,99999,99999
6,junk,09/29/2017 00:00:00,192.000000,11.00,11.60,11.3,99999,99999
6,junk,09/29/2017 00:00:00,232.000000,10.80,11.00,10.9,99999,99999
6,junk,09/29/2017 00:00:00,320.000000,10.20,10.40,10.3,99999,99999
6,junk,09/29/2017 00:00:00,408.000000,10.20,10.20,10.2,99999,99999
6,junk,09/29/2017 00:00:00,464.000000,10.20,10.20,10.2,99999,99999
7,junk,09/30/2017 00:00:00,0.000000,13.80,14.20,14.0,99999,99999
7,junk,09/30/2017 00:00:00,40.000000,13.80,14.20,14.0,99999,99999
7,junk,09/30/2017 00:00:00,184.000000,11.20,12.00,11.6,99999,99999
7,junk,09/30/2017 00:00:00,208.000000,11.00,11.60,11.3,99999,99999
7,junk,09/30/2017 00:00:00,312.000000,10.40,11.00,10.7,99999,99999
7,junk,09/30/2017 00:00:00,392.000000,10.40,10.60,10.5,99999,99999
7,junk,09/30/2017 00:00:00,528.000000,9.80,10.00,9.9,99999,99999
7,junk,09/30/2017 00:00:00,576.000000,9.60,9.60,9.6,99999,99999
8,junk,10/01/2017 00:00:00,0.000000,14.00,15.00,14.5,99999,99999
8,junk,10/01/2017 00:00:00,32.000000,14.00,15.00,14.5,99999,99999
8,junk,10/01/2017 00:00:00,136.000000,11.60,11.60,11.6,99999,99999
