datesec,lon,lat,lon025,lat025,lon5,lat5,lon975,lat975,mplon,mplat,id
11/14/2016 05:00,-4.585419178,46.23454732,-5.1304515,45.3886775,-4.58457,46.2431,-4.04640675,46.9198025,-4.48608019569472,46.3124996086106,511603400
11/15/2016 05:00,-4.251612911,46.13771769,-4.7871875,45.4132975,-4.251205,46.1395,-3.6917695,46.8494,-4.19219935420744,46.2534164383562,511603400
11/16/2016 05:00,-3.851520389,46.0065524,-4.4127105,45.3509975,-3.850195,46.00675,-3.31236225,46.7456075,-3.80232297455969,45.9817465753425,511603400
11/17/2016 05:00,-3.481984428,45.82457148,-3.99013375,45.0939975,-3.484325,45.8239,-2.92514975,46.6805225,-3.6054256555773,45.8608178082192,511603400
11/18/2016 05:00,-3.250025288,45.59340476,-3.81871875,44.7107,-3.249745,45.588,-2.677363,46.4908025,-3.16545761252446,45.4958315068493,511603400
11/19/2016 05:00,-2.901871015,45.37363752,-3.4670265,44.52969,-2.9007,45.3715,-2.3383485,46.2647325,-2.93512491193738,45.4046528375734,511603400
11/20/2016 05:00,-2.526905611,45.25473623,-3.0637935,44.4123775,-2.525455,45.25025,-1.99356725,46.1437125,-2.49261951076321,45.1387929549902,511603400
11/21/2016 05:00,-2.409468805,45.21211363,-2.9410625,44.4463925,-2.409905,45.2053,-1.85182375,46.0354,-2.46167694716243,45.142881409002,511603400
11/22/2016 05:00,-2.677609634,45.19283847,-3.21075025,44.4264875,-2.679695,45.19345,-2.13384575,45.9251075,-2.68211951076321,45.3968350293542,511603400
11/23/2016 05:00,-2.983941763,45.12271271,-3.511464,44.4033,-2.98396,45.1228,-2.44295125,45.8067,-3.03028761252446,45.1024821917808,511603400
11/24/2016 05:00,-2.946755068,45.04494755,-3.49482325,44.3829,-2.944355,45.0462,-2.424598,45.8126075,-2.88570328767123,45.0984479452055,511603400
11/25/2016 05:00,-2.847439672,45.0029716,-3.39729525,44.32859,-2.847985,45.00715,-2.3293045,45.8836025,-2.8208031702544,45.066402739726,511603400
11/26/2016 05:00,-2.996687076,44.98605013,-3.53977275,44.23399,-2.99664,44.9825,-2.45064675,45.92792,-2.94903007827789,45.0386074363992,511603400
11/27/2016 05:00,-3.091021135,44.98853971,-3.641318,44.1893925,-3.09201,44.98505,-2.53297175,45.9041075,-3.10515847358121,44.9144409001957,511603400
11/28/2016 05:00,-3.628458696,44.96366559,-4.173092,44.19078,-3.626545,44.96665,-3.07599525,45.8555025,-3.6040088258317,45.1242690802348,511603400
11/29/2016 05:00,-4.565275212,44.87307447,-5.1135245,44.1332575,-4.565325,44.87275,-4.01340375,45.873535,-4.60178622309198,44.9282082191781,511603400
